Metodo,Acuracia
GaussianNB,0.9135802469135802
BernoulliNB,0.08641975308641975
KNeighborsClassifier(2),0.7777777777777778
KNeighborsClassifier(3),0.8518518518518519
KNeighborsClassifier(5),0.8765432098765432
KNeighborsClassifier(8),0.8641975308641975
DecisionTreeClassifier(),0.8518518518518519
RandomForestClassifier(3_estimators),0.8827160493827161
RandomForestClassifier(5_estimators),0.9074074074074074
RandomForestClassifier,0.9135802469135802
SVM,0.7654320987654321
MLPClassifier,0.8888888888888888
rand1,0.5370370370370371
rand2,0.5308641975308642
rand3,0.4382716049382716
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
