,Discriminacao,Dificuldade,Adivinhacao
V1,1.04,0.603,0.0
V2,1.949,1.244,0.012
V3,3.183,2.72,0.009
V4,1.365,0.686,0.0
V5,1.942,1.246,0.012
V6,2.81,2.484,0.009
V7,0.289,-6.722,0.0
V8,1.103,-0.271,0.0
V9,1.113,-1.28,0.0
V10,2.581,2.282,0.017
V11,1.124,-0.494,0.0
V12,2.779,2.069,0.017
V13,0.097,-19.664,0.076
V14,2.732,2.3,0.037
V15,-1.484,2.673,0.0
V16,-113.699,-0.675,0.276
V17,-91.56,2.034,0.0
V18,-63.408,2.056,0.0
V19,-91.779,2.034,0.0
V20,-104.213,-0.669,0.105
V21,-71.768,2.068,0.0
V22,-2.39,-0.536,0.132
V23,-71.915,2.068,0.0
V24,-179.627,-1.365,0.095
V25,-41.078,2.039,0.0
V26,-76.686,1.358,0.1
V27,-3.627,-1.413,0.085
V28,-64.009,2.055,0.0
V29,-2.762,1.926,0.0
V30,-64.129,2.055,0.0
V31,-216.979,-2.391,0.072
V32,-393.204,-1.366,0.068
V33,-2.762,1.926,0.0
V34,-188.011,-1.347,0.081
V35,-64.249,2.055,0.0
V36,-3.168,2.047,0.0
V37,-37.081,2.086,0.0
V38,-192.217,0.679,0.283
V39,-116.038,2.42,0.0
V40,-76.946,1.358,0.1
V41,-65.083,2.055,0.0
V42,-2.762,1.926,0.0
V43,-116.26,2.418,0.0
V44,-2.762,1.927,0.0
V45,-2.028,1.566,0.0
V46,-3.655,1.868,0.0
V47,-3.169,2.046,0.0
V48,-4.092,1.563,0.0
V49,-2.291,2.344,0.0
V50,-41.078,2.039,0.0
V51,-61.78,2.027,0.0
V52,-37.08,2.086,0.0
V53,-202.39,-0.69,0.106
V54,-2.118,2.204,0.0
V55,-383.203,-1.366,0.054
V56,-4.594,1.7,0.0
V57,-174.032,1.692,0.0
V58,-430.628,0.254,0.227
V59,-73.367,2.068,0.0
V60,-41.089,2.039,0.0
V61,-41.089,2.039,0.0
V62,-1.123,0.894,0.0
V63,-73.51,2.068,0.0
V64,-61.756,2.043,0.0
V65,-140.29,0.68,0.212
V66,-65.67,2.055,0.0
V67,-246.786,-2.39,0.072
V68,-2.47,2.127,0.0
V69,-208.044,-2.035,0.091
V70,-188.987,0.005,0.078
V71,-2.346,1.99,0.0
V72,-3.231,1.742,0.0
V73,-93.027,2.034,0.0
V74,-2.568,1.251,0.0
V75,-1.362,2.586,0.0
V76,-2.762,1.926,0.0
V77,-2.314,1.996,0.0
V78,-2.674,0.158,0.047
V79,-41.089,2.039,0.0
V80,-3.626,1.133,0.0
V81,-2.291,2.344,0.0
V82,-1.06,1.445,0.0
V83,-3.231,1.742,0.0
V84,-73.937,2.068,0.0
V85,-2.762,1.926,0.0
V86,-231.578,0.002,0.227
V87,-359.497,-1.363,0.149
V88,-116.785,2.413,0.0
V89,-1.85,1.986,0.0
V90,-127.912,-1.359,0.081
V91,-364.37,0.306,0.188
V92,-429.722,-0.453,0.127
V93,-236.76,-2.388,0.063
V94,-295.722,-0.005,0.193
V95,-41.089,2.039,0.0
V96,-2.762,1.927,0.0
V97,-74.22,2.068,0.0
V98,-41.079,2.039,0.0
V99,-1.885,1.842,0.0
V100,-74.361,2.068,0.0
V101,-66.37,2.055,0.0
V102,-3.169,2.047,0.0
V103,-1.964,2.434,0.0
V104,-66.486,2.055,0.0
V105,-298.486,-1.366,0.095
V106,-1.48,2.181,0.0
V107,-4.092,1.563,0.0
V108,-5.358,-0.056,0.2
V109,-1.551,2.837,0.0
V110,-2.291,2.344,0.0
V111,-329.364,-0.993,0.054
V112,-108.221,-1.361,0.081
V113,-238.524,-2.41,0.054
V114,-2.066,-0.711,0.094
V115,-2.741,1.318,0.0
V116,-52.181,2.057,0.0
V117,-4.092,1.564,0.0
V118,-74.783,2.068,0.0
V119,-1.833,1.264,0.0
V120,-250.977,0.008,0.15
V121,-3.646,1.867,0.0
V122,-1.855,2.129,0.0
V123,-66.383,2.055,0.0
V124,-66.501,2.055,0.0
V125,-67.065,2.055,0.0
V126,-75.478,2.067,0.0
V127,-267.425,0.672,0.211
V128,-75.615,2.067,0.0
V129,-75.753,2.067,0.0
V130,-3.231,1.742,0.0
V131,-1.223,1.216,0.0
V132,-1.376,2.759,0.0
V133,-119.749,-1.34,0.149
V134,-75.891,2.067,0.0
V135,-2.909,2.247,0.0
V136,-240.049,-2.419,0.036
V137,-145.777,-2.041,0.057
V138,-1.822,1.44,0.0
V139,-41.079,2.039,0.0
V140,-41.089,2.039,0.0
V141,-76.027,2.067,0.0
V142,-1.123,2.53,0.0
V143,-2.376,1.59,0.0
V144,-1.208,0.834,0.0
V145,-1.874,1.846,0.0
V146,-37.079,2.086,0.0
V147,-1.125,0.956,0.0
V148,-122.998,-1.356,0.054
V149,-2.762,1.926,0.0
V150,-4.091,1.563,0.0
V151,-67.755,2.055,0.0
V152,-1.89,0.094,0.194
V153,-3.656,1.867,0.0
V154,-177.158,1.691,0.0
V155,-2.762,1.926,0.0
V156,-1.285,1.033,0.0
V157,-4.891,0.014,0.151
V158,-4.778,-0.175,0.18
V159,-144.749,-2.744,0.054
V160,-1.203,2.75,0.0
V161,-52.18,2.057,0.0
V162,-310.066,0.009,0.155
