Metodo,Acuracia
GaussianNB,0.7632850241545893
BernoulliNB,0.7439613526570048
KNeighborsClassifier(2),0.6328502415458938
KNeighborsClassifier(3),0.6570048309178744
KNeighborsClassifier(5),0.6666666666666666
KNeighborsClassifier(8),0.6714975845410628
DecisionTreeClassifier(),0.7536231884057971
RandomForestClassifier(3_estimators),0.8164251207729468
RandomForestClassifier(5_estimators),0.8357487922705314
RandomForestClassifier,0.8502415458937198
SVM,0.6280193236714976
MLPClassifier,0.7632850241545893
rand1,0.48792270531400966
rand2,0.5652173913043478
rand3,0.5169082125603864
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
