Metodo,Acuracia
GaussianNB,0.7777777777777778
BernoulliNB,0.7391304347826086
KNeighborsClassifier(2),0.6280193236714976
KNeighborsClassifier(3),0.6376811594202898
KNeighborsClassifier(5),0.6328502415458938
KNeighborsClassifier(8),0.6473429951690821
DecisionTreeClassifier(),0.8115942028985508
RandomForestClassifier(3_estimators),0.8115942028985508
RandomForestClassifier(5_estimators),0.8357487922705314
RandomForestClassifier,0.855072463768116
SVM,0.6521739130434783
MLPClassifier,0.7101449275362319
rand1,0.5555555555555556
rand2,0.46859903381642515
rand3,0.5169082125603864
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
