,Discriminacao,Dificuldade,Adivinhacao
V1,3.763,-1.937,0.007
V2,-2.737,-1.918,0.0
V3,-0.53,-1.721,0.0
V4,-1.733,-1.888,0.0
V5,1.443,-1.268,0.032
V6,-1.582,-2.509,0.0
V7,7.108,-0.927,0.351
V8,4.631,2.232,0.37
V9,4.364,-1.805,0.008
V10,-0.45,-0.122,0.032
V11,-1.295,-0.407,0.0
V12,-0.75,-0.412,0.0
V13,4.888,-0.972,0.697
V14,-1.98,-1.739,0.0
V15,5.132,-0.586,0.316
V16,-2.109,-1.669,0.0
V17,29.908,0.249,0.455
V18,-2.272,-1.642,0.0
V19,0.969,-2.703,0.218
V20,-0.552,-0.196,0.001
V21,4.624,-0.41,0.465
V22,3.953,-1.727,0.016
V23,17.937,0.642,0.337
V24,1.872,-0.52,0.107
V25,1.067,-1.513,0.013
V26,1.624,-2.432,0.308
V27,0.553,-3.092,0.232
V28,3.317,-1.866,0.01
V29,3.695,-1.926,0.008
V30,-1.749,-0.878,0.0
V31,5.772,-1.681,0.006
V32,-1.763,-1.681,0.0
V33,30.782,0.232,0.534
V34,8.713,2.141,0.301
V35,-0.472,0.621,0.0
V36,17.266,0.35,0.637
V37,1.059,-2.219,0.379
V38,3.166,-1.775,0.013
V39,2.576,2.231,0.316
V40,10.949,-0.645,0.406
V41,5.772,-1.681,0.006
V42,3.926,-1.759,0.008
V43,-0.415,-0.57,0.0
V44,1.14,-2.795,0.198
V45,2.376,-1.776,0.008
V46,-2.365,-2.218,0.0
V47,2.003,-1.608,0.038
V48,2.295,-1.634,0.004
V49,-2.351,-1.545,0.0
V50,1.308,-1.504,0.015
V51,5.346,-1.857,0.005
V52,1.242,-0.348,0.726
V53,-2.904,-1.887,0.0
V54,4.303,-1.823,0.007
V55,-0.426,1.316,0.0
V56,2.227,-1.478,0.198
V57,21.002,0.293,0.601
V58,13.857,-1.244,0.204
V59,1.022,-1.761,0.011
V60,5.652,-1.871,0.005
V61,2.09,-1.391,0.019
V62,3.005,-0.63,0.44
V63,1.634,-2.415,0.314
V64,-0.674,0.023,0.0
V65,1.17,-3.493,0.11
V66,0.784,-3.822,0.106
V67,3.89,-1.733,0.014
V68,8.376,-0.967,0.407
V69,13.067,0.641,0.583
V70,11.323,0.127,0.456
V71,7.139,2.116,0.344
V72,2.893,-2.046,0.01
V73,1.542,-1.561,0.009
V74,-0.459,0.59,0.004
V75,-0.65,-0.497,0.002
V76,3.952,-1.728,0.016
V77,-1.876,-1.061,0.0
V78,1.675,-2.793,0.099
V79,1.205,-2.68,0.132
V80,3.732,-1.913,0.008
V81,5.417,-1.597,0.019
V82,-0.516,1.029,0.0
V83,5.675,2.187,0.427
V84,2.652,-1.933,0.016
V85,2.819,-1.771,0.008
V86,1.674,-2.795,0.1
V87,30.752,0.256,0.537
V88,3.95,-1.728,0.016
V89,1.374,-1.809,0.008
V90,0.557,-4.042,0.186
V91,0.737,-4.266,0.091
V92,-0.419,-0.515,0.0
V93,12.789,-1.392,0.0
V94,2.185,-1.309,0.003
V95,3.835,-0.861,0.002
V96,-0.464,0.65,0.001
V97,4.721,-1.564,0.001
V98,8.616,-1.542,0.0
V99,1.178,-3.044,0.105
V100,0.712,-2.777,0.005
V101,-0.545,-2.914,0.0
V102,-1.103,-0.803,0.0
V103,2.0,-2.634,0.148
V104,5.323,-1.869,0.005
V105,2.411,-1.703,0.002
V106,27.291,0.246,0.386
V107,-2.014,-1.247,0.0
V108,2.446,-2.725,0.104
V109,4.544,-1.982,0.006
V110,3.925,-2.281,0.007
V111,9.894,-1.463,0.001
V112,37.036,0.197,0.559
V113,35.509,0.2,0.474
V114,10.117,2.123,0.396
V115,6.031,-1.671,0.006
V116,12.574,-1.349,0.0
V117,20.016,0.561,0.384
V118,6.463,-2.174,0.0
V119,-0.132,-13.637,0.0
V120,-0.797,-2.685,0.0
V121,3.693,-1.497,0.001
V122,12.609,-1.383,0.0
V123,1.741,-2.68,0.074
V124,7.312,0.121,0.745
V125,8.072,-1.76,0.003
V126,37.481,0.252,0.481
V127,1.27,-1.88,0.014
V128,10.715,-1.716,0.0
V129,5.561,-1.699,0.001
V130,8.736,-1.969,0.004
V131,5.627,-1.694,0.006
V132,-1.668,-0.889,0.0
V133,3.656,-1.459,0.001
V134,10.718,-1.716,0.0
V135,15.293,-1.362,0.0
V136,-0.816,0.178,0.0
V137,-0.749,0.22,0.0
V138,1.951,-2.382,0.257
V139,3.704,-1.196,0.0
V140,3.879,-1.349,0.0
V141,0.91,-1.069,0.003
V142,2.003,-1.83,0.02
V143,1.905,-1.291,0.001
V144,13.502,-1.423,0.0
V145,10.671,1.765,0.335
V146,-0.604,-4.805,0.0
V147,1.067,-1.89,0.013
V148,-1.427,-1.842,0.0
V149,4.785,-1.115,0.801
V150,6.748,0.233,0.754
V151,-1.176,-1.247,0.0
V152,-1.537,-1.251,0.0
V153,29.439,0.233,0.604
V154,-0.434,1.716,0.004
V155,3.698,-1.627,0.001
V156,-0.488,-1.565,0.0
V157,-0.504,-3.15,0.0
V158,4.074,-2.162,0.006
