Metodo,Acuracia
GaussianNB,0.81722571628232
BernoulliNB,0.8244234800838575
KNeighborsClassifier(2),0.6307477288609363
KNeighborsClassifier(3),0.6995108315863032
KNeighborsClassifier(5),0.7051362683438155
KNeighborsClassifier(8),0.7068832983927323
DecisionTreeClassifier(),0.8322501747030049
RandomForestClassifier(3_estimators),0.8547519217330539
RandomForestClassifier(5_estimators),0.8584206848357792
RandomForestClassifier,0.8993361285814115
SVM,0.6064290705800139
MLPClassifier,0.7742487770789658
rand1,0.5555555555555556
rand2,0.46859903381642515
rand3,0.5169082125603864
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
