Metodo,Acuracia
GaussianNB,0.5169512195121951
BernoulliNB,0.7132317073170731
KNeighborsClassifier(2),0.6937804878048779
KNeighborsClassifier(3),0.6492682926829267
KNeighborsClassifier(5),0.6617073170731707
KNeighborsClassifier(8),0.7082926829268292
DecisionTreeClassifier(),0.6669512195121949
RandomForestClassifier(3_estimators),0.6934756097560976
RandomForestClassifier(5_estimators),0.6959756097560975
RandomForestClassifier,0.7105487804878048
SVM,0.7132317073170731
MLPClassifier,0.6639634146341462
rand1,0.42857142857142855
rand2,0.5028571428571429
rand3,0.5142857142857142
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
