Metodo,Acuracia
GaussianNB,0.6786966686148452
BernoulliNB,0.5365575686732904
KNeighborsClassifier(2),0.7491525423728814
KNeighborsClassifier(3),0.7371712448860317
KNeighborsClassifier(5),0.7217124488603155
KNeighborsClassifier(8),0.7148158971361778
DecisionTreeClassifier(),0.766510812390415
RandomForestClassifier(3_estimators),0.7354763296317943
RandomForestClassifier(5_estimators),0.7665108123904151
RandomForestClassifier,0.8042080654587961
SVM,0.6512273524254822
MLPClassifier,0.6853594389246055
rand1,0.4857142857142857
rand2,0.44571428571428573
rand3,0.56
majoritario,0.2857142857142857
minoritario,0.7142857142857143
pessimo,0.0
otimo,1.0
