Metodo,Acuracia
GaussianNB,0.6959088252483927
BernoulliNB,0.5271478667445938
KNeighborsClassifier(2),0.7506136762127411
KNeighborsClassifier(3),0.7490648743424897
KNeighborsClassifier(5),0.7353594389246054
KNeighborsClassifier(8),0.7300993571011105
DecisionTreeClassifier(),0.7489187609585038
RandomForestClassifier(3_estimators),0.7508474576271186
RandomForestClassifier(5_estimators),0.7697545295149035
RandomForestClassifier,0.8075686732904733
SVM,0.7267679719462303
MLPClassifier,0.7266803039158387
rand1,0.4857142857142857
rand2,0.44571428571428573
rand3,0.56
majoritario,0.2857142857142857
minoritario,0.7142857142857143
pessimo,0.0
otimo,1.0
