Metodo,Acuracia
GaussianNB,0.6342857142857142
BernoulliNB,0.68
KNeighborsClassifier(2),0.6971428571428572
KNeighborsClassifier(3),0.6971428571428572
KNeighborsClassifier(5),0.7028571428571428
KNeighborsClassifier(8),0.68
DecisionTreeClassifier(),0.6857142857142857
RandomForestClassifier(3_estimators),0.6742857142857143
RandomForestClassifier(5_estimators),0.72
RandomForestClassifier,0.7485714285714286
SVM,0.6971428571428572
MLPClassifier,0.68
rand1,0.4857142857142857
rand2,0.44571428571428573
rand3,0.56
majoritario,0.2857142857142857
minoritario,0.7142857142857143
pessimo,0.0
otimo,1.0
