Metodo,Acuracia
GaussianNB,0.8923273657289004
BernoulliNB,0.4599317988064791
KNeighborsClassifier(2),0.8502557544757033
KNeighborsClassifier(3),0.8444373401534527
KNeighborsClassifier(5),0.825532821824382
KNeighborsClassifier(8),0.8022378516624041
DecisionTreeClassifier(),0.9141304347826086
RandomForestClassifier(3_estimators),0.919842284739983
RandomForestClassifier(5_estimators),0.9403452685421995
RandomForestClassifier,0.963704177323103
SVM,0.7832267689684571
MLPClassifier,0.8367433930093776
rand1,0.42592592592592593
rand2,0.48148148148148145
rand3,0.4506172839506173
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
