Metodo,Acuracia
GaussianNB,0.8785714285714287
BernoulliNB,0.4351552795031056
KNeighborsClassifier(2),0.8467908902691512
KNeighborsClassifier(3),0.841055900621118
KNeighborsClassifier(5),0.8468530020703934
KNeighborsClassifier(8),0.8208281573498966
DecisionTreeClassifier(),0.9160869565217391
RandomForestClassifier(3_estimators),0.9421325051759833
RandomForestClassifier(5_estimators),0.9363561076604554
RandomForestClassifier,0.9580952380952381
SVM,0.783167701863354
MLPClassifier,0.8699171842650104
rand1,0.42592592592592593
rand2,0.48148148148148145
rand3,0.4506172839506173
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
