Metodo,Acuracia
GaussianNB,0.808641975308642
BernoulliNB,0.08641975308641975
KNeighborsClassifier(2),0.7345679012345679
KNeighborsClassifier(3),0.7654320987654321
KNeighborsClassifier(5),0.7407407407407407
KNeighborsClassifier(8),0.691358024691358
DecisionTreeClassifier(),0.8333333333333334
RandomForestClassifier(3_estimators),0.8888888888888888
RandomForestClassifier(5_estimators),0.8888888888888888
RandomForestClassifier,0.8703703703703703
SVM,0.6666666666666666
MLPClassifier,0.7160493827160493
rand1,0.42592592592592593
rand2,0.48148148148148145
rand3,0.4506172839506173
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
