,Discriminacao,Dificuldade,Adivinhacao
V1,1.605,-0.502,0.03
V2,1.242,-0.989,0.0
V3,2.03,2.32,0.061
V4,0.114,-11.307,0.199
V5,2.867,-0.792,0.07
V6,1.33,-1.627,0.001
V7,0.462,-3.977,0.001
V8,2.801,3.182,0.009
V9,0.282,-7.682,0.019
V10,0.441,-1.867,0.026
V11,0.8,-4.399,0.002
V12,0.593,-3.75,0.001
V13,0.802,0.68,0.132
V14,-0.193,12.127,0.05
V15,-3.133,0.829,0.116
V16,-4.775,0.084,0.039
V17,-12.108,2.693,0.0
V18,-10.95,2.814,0.0
V19,-14.589,1.765,0.443
V20,-10.949,2.814,0.0
V21,-23.477,1.724,0.111
V22,-22.563,-2.053,0.046
V23,-4.239,0.224,0.029
V24,-35.833,0.633,0.053
V25,-12.062,1.937,0.166
V26,-22.772,1.71,0.111
V27,-30.413,-2.014,0.018
V28,-2.852,-1.249,0.061
V29,-15.05,2.095,0.0
V30,-23.051,-2.054,0.055
V31,-12.092,1.937,0.166
V32,-12.108,2.693,0.0
V33,-44.265,-1.72,0.037
V34,-3.801,-1.446,0.026
V35,-12.362,1.446,0.222
V36,-3.139,2.68,0.0
V37,-12.108,2.693,0.0
V38,-1.211,-0.007,0.238
V39,-34.056,-0.715,0.042
V40,-1.868,-2.909,0.047
V41,-10.246,-2.052,0.009
V42,-27.547,-2.011,0.046
V43,-24.024,-0.668,0.014
V44,-10.73,2.686,0.0
V45,-2.423,-2.205,0.05
V46,-2.117,0.432,0.128
V47,-4.226,-1.741,0.1
V48,-2.395,1.993,0.0
V49,-23.476,1.724,0.111
V50,-3.062,0.649,0.164
V51,-1.869,-2.408,0.051
V52,-28.671,-2.012,0.037
V53,-5.431,-1.156,0.085
V54,-10.73,2.686,0.0
V55,-21.386,2.405,0.0
V56,-27.457,0.687,0.158
V57,-8.226,2.832,0.0
V58,-2.558,-2.509,0.011
V59,-6.808,-2.814,0.043
V60,-9.22,0.372,0.052
V61,-17.275,-2.119,0.028
V62,-4.116,-1.962,0.011
V63,-21.386,2.405,0.0
V64,-12.108,2.693,0.0
V65,-18.026,1.239,0.333
V66,-5.086,-0.314,0.154
V67,-30.595,0.703,0.0
V68,-8.26,2.832,0.0
V69,-1.859,-0.695,0.0
V70,-2.264,-2.146,0.059
V71,-4.754,0.43,0.037
V72,-14.772,1.765,0.443
V73,-5.994,-0.256,0.284
V74,-3.163,-1.591,0.075
V75,-26.388,-2.051,0.028
V76,-3.745,2.434,0.001
V77,-10.731,2.686,0.0
V78,-40.463,0.608,0.053
V79,-5.373,-2.519,0.038
V80,-23.77,-2.052,0.037
V81,-10.731,2.686,0.0
V82,-8.292,2.832,0.0
V83,-22.885,-2.053,0.046
V84,-30.631,0.707,0.106
V85,-20.883,1.715,0.333
V86,-8.324,2.831,0.0
V87,-2.661,-2.837,0.02
V88,-8.339,2.831,0.0
V89,-24.393,-2.053,0.046
V90,-10.731,2.686,0.0
V91,-3.744,2.434,0.001
V92,-38.546,0.623,0.0
V93,-17.503,1.285,0.111
V94,-21.386,2.405,0.0
V95,-17.479,1.285,0.111
V96,-13.992,2.701,0.0
V97,-3.944,-2.72,0.02
V98,-9.555,2.822,0.0
V99,-12.236,3.104,0.0
V100,-3.495,-2.327,0.053
V101,-2.392,-0.625,0.071
V102,-8.396,2.831,0.0
V103,-15.05,2.095,0.0
V104,-15.143,-0.664,0.028
V105,-7.319,-0.996,0.014
V106,-10.731,2.686,0.0
V107,-21.386,2.405,0.0
V108,-29.817,-2.014,0.037
V109,-3.683,2.435,0.0
V110,-35.142,0.623,0.158
V111,-1.73,0.005,0.062
V112,-10.731,2.686,0.0
V113,-13.992,2.701,0.0
V114,-4.027,-1.347,0.026
V115,-10.731,2.686,0.0
V116,-24.787,-2.051,0.028
V117,-12.108,2.693,0.0
V118,-38.2,1.053,0.106
V119,-37.234,-0.639,0.442
V120,-7.485,0.461,0.053
V121,-17.992,-2.117,0.028
V122,-8.435,2.831,0.0
V123,-23.476,1.724,0.111
V124,-13.991,2.701,0.0
V125,-2.097,-0.35,0.0
V126,-21.386,2.405,0.0
V127,-5.642,0.933,0.0
V128,-35.434,-0.636,0.056
V129,-23.11,1.722,0.111
V130,-3.313,2.679,0.0
V131,-4.449,0.406,0.037
V132,-4.729,-1.225,0.05
V133,-3.44,-1.247,0.1
V134,-15.655,-1.985,0.073
V135,-12.108,2.693,0.0
V136,-2.39,-2.056,0.1
V137,-22.174,1.722,0.222
V138,-36.116,-1.437,0.055
V139,-39.317,0.608,0.105
V140,-6.599,0.529,0.053
V141,-22.806,-2.053,0.046
V142,-0.312,-0.282,0.0
V143,-26.813,-1.408,0.077
V144,-3.658,-1.145,0.045
V145,-30.006,-0.626,0.067
V146,-14.486,2.001,0.0
V147,-23.221,1.724,0.111
V148,-22.218,1.722,0.222
V149,-43.334,0.08,0.026
V150,-15.05,2.095,0.0
V151,-5.263,-0.486,0.047
V152,-5.46,-3.011,0.015
V153,-5.124,0.337,0.058
V154,-2.869,-1.111,0.015
V155,-6.043,-0.86,0.043
V156,-1.564,-2.765,0.208
V157,-25.521,-2.051,0.018
V158,-9.555,2.822,0.0
V159,1.535,4.186,0.038
V160,-21.25,1.723,0.333
V161,-9.554,2.822,0.0
V162,-30.144,0.698,0.105
