,Discriminacao,Dificuldade,Adivinhacao
V1,0.716,-3.018,0.0
V2,0.335,-6.11,0.011
V3,1.344,2.298,0.013
V4,0.067,-26.997,0.101
V5,3.1,-0.015,0.014
V6,2.433,1.557,0.011
V7,1.613,2.263,0.013
V8,5.676,3.198,0.01
V9,1.621,2.086,0.021
V10,1.08,-1.631,0.0
V11,0.346,-4.187,0.008
V12,2.155,2.059,0.019
V13,1.212,-0.461,0.0
V14,1.432,2.068,0.013
V15,-3.445,0.971,0.173
V16,-25.866,0.74,0.084
V17,-13.704,2.7,0.0
V18,-1.626,2.944,0.0
V19,-12.817,3.103,0.0
V20,-10.201,2.819,0.0
V21,-3.173,2.103,0.012
V22,-2.129,-0.207,0.252
V23,-20.245,0.124,0.12
V24,-4.227,1.326,0.095
V25,-12.686,2.696,0.0
V26,-3.289,2.309,0.0
V27,-27.04,0.007,0.12
V28,-2.608,1.384,0.0
V29,-23.481,2.4,0.0
V30,-2.621,1.251,0.07
V31,-12.686,2.696,0.0
V32,-13.704,2.7,0.0
V33,-29.107,0.757,0.166
V34,-31.373,-0.623,0.077
V35,-6.951,1.787,0.323
V36,-9.112,2.826,0.0
V37,-13.704,2.7,0.0
V38,-26.507,-2.195,0.308
V39,-23.387,1.079,0.166
V40,-55.8,-0.04,0.12
V41,-14.976,-2.893,0.077
V42,-1.025,2.045,0.0
V43,-25.279,0.697,0.0
V44,-12.686,2.696,0.0
V45,-3.338,1.417,0.0
V46,-6.115,-0.136,0.122
V47,-15.222,1.619,0.182
V48,-14.356,2.145,0.0
V49,-3.018,2.291,0.013
V50,-42.841,0.02,0.12
V51,-17.285,1.646,0.0
V52,-4.728,-0.195,0.268
V53,-3.989,1.251,0.289
V54,-12.687,2.696,0.0
V55,-23.479,2.4,0.0
V56,-15.284,1.614,0.272
V57,-10.083,2.825,0.0
V58,-1.522,0.134,0.0
V59,-0.982,0.826,0.0
V60,-16.642,1.643,0.091
V61,-23.371,-2.737,0.097
V62,-2.098,-0.653,0.0
V63,-23.478,2.4,0.0
V64,-13.703,2.7,0.0
V65,-8.58,1.665,0.45
V66,-23.288,-0.718,0.075
V67,-5.444,0.075,0.0
V68,-10.13,2.823,0.0
V69,-3.03,1.317,0.0
V70,-33.14,-1.296,0.144
V71,-25.628,0.721,0.084
V72,-12.929,3.103,0.0
V73,-4.198,-0.453,0.092
V74,-48.665,-1.657,0.085
V75,-37.386,-1.973,0.215
V76,-13.703,2.7,0.0
V77,-12.687,2.696,0.0
V78,-27.517,0.765,0.083
V79,-15.925,-2.963,0.252
V80,-1.973,-1.384,0.234
V81,-12.687,2.696,0.0
V82,-10.161,2.822,0.0
V83,-0.826,0.661,0.0
V84,-28.213,0.759,0.166
V85,-9.693,1.677,0.45
V86,-10.192,2.821,0.0
V87,-41.206,0.002,0.041
V88,-10.207,2.82,0.0
V89,-9.095,-1.814,0.155
V90,-12.687,2.696,0.0
V91,-13.703,2.7,0.0
V92,-24.983,1.058,0.0
V93,-3.16,2.121,0.007
V94,-23.476,2.4,0.0
V95,-3.183,2.131,0.007
V96,-14.595,2.702,0.0
V97,-1.335,0.186,0.058
V98,-9.112,2.825,0.0
V99,-13.029,3.103,0.0
V100,-16.435,1.63,0.182
V101,-2.008,1.491,0.015
V102,-10.3,2.817,0.0
V103,-23.475,2.4,0.0
V104,-24.183,0.781,0.0
V105,-69.021,0.397,0.0
V106,-12.688,2.696,0.0
V107,-23.473,2.4,0.0
V108,1.279,4.422,0.125
V109,-12.688,2.696,0.0
V110,-71.354,0.336,0.12
V111,-24.812,-1.322,0.119
V112,-12.688,2.696,0.0
V113,-14.595,2.702,0.0
V114,-5.332,0.065,0.042
V115,-12.688,2.696,0.0
V116,-24.702,-2.015,0.228
V117,-13.703,2.7,0.0
V118,-31.012,1.045,0.249
V119,-23.271,0.722,0.417
V120,-25.261,1.057,0.084
V121,-43.335,-1.571,0.169
V122,-10.331,2.816,0.0
V123,-3.149,2.132,0.006
V124,-14.595,2.702,0.0
V125,-19.677,-2.006,0.074
V126,-23.472,2.4,0.0
V127,-3.594,1.026,0.0
V128,-27.652,0.732,0.166
V129,-1.88,2.27,0.0
V130,-10.201,2.819,0.0
V131,-3.785,0.81,0.086
V132,-2.312,1.13,0.181
V133,-3.997,1.25,0.289
V134,-13.976,-2.807,0.515
V135,-13.703,2.7,0.0
V136,-31.672,-2.074,0.061
V137,-2.502,2.533,0.0
V138,-25.239,1.058,0.0
V139,-4.289,1.282,0.192
V140,-3.699,-0.543,0.054
V141,-2.306,-0.128,0.258
V142,-4.038,-0.983,0.365
V143,-16.567,1.63,0.182
V144,-44.112,0.022,0.04
V145,-17.036,1.644,0.092
V146,-23.47,2.4,0.0
V147,-4.158,2.485,0.001
V148,-1.716,2.32,0.0
V149,-38.382,0.66,0.084
V150,-23.469,2.4,0.0
V151,-2.295,1.207,0.079
V152,-24.183,0.781,0.0
V153,-27.706,0.732,0.166
V154,-46.529,0.021,0.04
V155,-4.574,0.412,0.174
V156,1.039,17.538,0.396
V157,-5.154,-0.182,0.075
V158,-9.112,2.825,0.0
V159,0.787,5.883,0.098
V160,-9.927,1.682,0.45
V161,-9.112,2.825,0.0
V162,-38.678,0.032,0.12
