Metodo,Acuracia
GaussianNB,0.9537888198757765
BernoulliNB,0.4351552795031056
KNeighborsClassifier(2),0.8959213250517598
KNeighborsClassifier(3),0.9219461697722566
KNeighborsClassifier(5),0.9161697722567288
KNeighborsClassifier(8),0.8945134575569357
DecisionTreeClassifier(),0.9335196687370602
RandomForestClassifier(3_estimators),0.9379089026915114
RandomForestClassifier(5_estimators),0.9364596273291926
RandomForestClassifier,0.9509109730848863
SVM,0.7949068322981366
MLPClassifier,0.9494409937888199
rand1,0.42592592592592593
rand2,0.48148148148148145
rand3,0.4506172839506173
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
