Metodo,Acuracia
GaussianNB,0.782608695652174
BernoulliNB,0.8454106280193237
KNeighborsClassifier(2),0.5748792270531401
KNeighborsClassifier(3),0.6231884057971014
KNeighborsClassifier(5),0.6328502415458938
KNeighborsClassifier(8),0.6908212560386473
DecisionTreeClassifier(),0.7874396135265701
RandomForestClassifier(3_estimators),0.8405797101449275
RandomForestClassifier(5_estimators),0.8454106280193237
RandomForestClassifier,0.8647342995169082
SVM,0.6618357487922706
MLPClassifier,0.714975845410628
rand1,0.5265700483091788
rand2,0.4830917874396135
rand3,0.4830917874396135
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
