,Discriminacao,Dificuldade,Adivinhacao
V1,4.946,-1.984,0.015
V2,3.266,-1.907,0.015
V3,4.25,-2.281,0.047
V4,6.001,-2.113,0.014
V5,4.613,-2.127,0.016
V6,2.836,0.277,0.672
V7,-2.324,-2.472,0.277
V8,1.078,-1.49,0.114
V9,2.95,-1.803,0.016
V10,1.272,-3.191,0.077
V11,-0.432,-4.383,0.007
V12,5.543,-1.856,0.013
V13,-1.341,-1.509,0.004
V14,5.61,0.526,0.44
V15,6.409,1.069,0.084
V16,1.197,-2.242,0.022
V17,0.747,-4.253,0.078
V18,6.533,0.326,0.478
V19,6.001,-2.113,0.014
V20,7.383,0.405,0.609
V21,0.484,-2.189,0.049
V22,4.524,-2.286,0.017
V23,0.873,-4.189,0.075
V24,5.288,1.522,0.422
V25,1.026,-1.254,0.19
V26,-3.525,-2.338,0.011
V27,0.859,-2.378,0.229
V28,11.429,0.261,0.592
V29,-0.536,-0.716,0.004
V30,-0.708,-1.45,0.009
V31,0.873,-4.188,0.072
V32,0.881,-3.529,0.096
V33,7.899,-0.074,0.509
V34,-2.187,-2.382,0.025
V35,2.437,-1.427,0.025
V36,1.853,1.732,0.587
V37,2.138,-0.535,0.319
V38,3.703,-2.509,0.023
V39,6.343,1.195,0.201
V40,5.543,-1.857,0.013
V41,4.613,-2.127,0.016
V42,-3.547,-2.079,0.011
V43,0.884,-2.138,0.031
V44,4.945,-1.984,0.015
V45,-2.588,-2.252,0.012
V46,5.775,0.492,0.507
V47,0.261,-1.637,0.087
V48,-2.256,-1.585,0.02
V49,-2.122,-1.92,0.011
V50,6.316,-1.988,0.014
V51,-2.549,-2.169,0.058
V52,2.964,-2.071,0.016
V53,0.876,-3.571,0.104
V54,2.982,-2.07,0.016
V55,7.028,-0.132,0.552
V56,1.296,-2.333,0.05
V57,4.613,-2.127,0.016
V58,4.612,-2.128,0.016
V59,1.028,-1.226,0.031
V60,0.037,1.438,0.108
V61,-1.951,-2.208,0.145
V62,-0.392,-2.576,0.007
V63,-0.857,-1.343,0.007
V64,2.982,-2.07,0.016
V65,2.491,2.329,0.044
V66,9.184,0.696,0.449
V67,4.945,-1.985,0.015
V68,2.508,-2.241,0.017
V69,-2.668,-2.0,0.057
V70,9.128,-0.4,0.493
V71,0.924,-2.316,0.026
V72,4.966,-0.425,0.706
V73,6.224,-1.988,0.014
V74,1.168,-1.82,0.017
V75,-1.765,-1.704,0.085
V76,0.76,-2.505,0.036
V77,4.945,-1.985,0.015
V78,4.711,-2.023,0.083
V79,1.421,-2.149,0.019
V80,4.524,-2.286,0.017
V81,0.968,-1.516,0.139
V82,0.625,-2.136,0.053
V83,0.994,-2.347,0.168
V84,2.379,-1.892,0.014
V85,1.293,-2.142,0.019
V86,4.524,-2.286,0.017
V87,-3.946,-2.504,0.011
V88,-0.765,-2.631,0.004
V89,1.909,-2.075,0.028
V90,6.435,-0.228,0.597
V91,0.487,-2.275,0.051
V92,0.086,-8.083,0.082
V93,-0.187,-4.409,0.105
V94,-0.337,-1.299,0.026
V95,4.619,-2.125,0.015
V96,4.619,-2.125,0.015
V97,6.134,0.378,0.429
V98,2.879,-1.832,0.019
V99,8.903,0.074,0.556
V100,3.033,0.152,0.395
V101,1.956,-1.948,0.016
V102,0.864,-4.211,0.076
V103,0.621,-3.412,0.142
V104,-3.184,-2.422,0.057
V105,3.388,-1.45,0.022
V106,2.045,-1.131,0.029
V107,-0.512,-1.869,0.007
V108,1.824,-2.122,0.018
V109,11.187,0.438,0.225
V110,8.275,-0.96,0.116
V111,0.191,-0.257,0.038
V112,0.514,-0.371,0.041
V113,12.913,0.318,0.284
V114,3.721,-2.032,0.016
V115,3.144,-0.947,0.113
V116,3.091,-1.955,0.018
V117,3.921,-1.752,0.043
V118,4.619,-2.125,0.015
V119,2.401,-1.773,0.02
V120,2.317,-1.504,0.014
V121,4.619,-2.125,0.015
V122,-0.629,-1.096,0.01
V123,8.729,0.586,0.455
V124,9.825,1.426,0.183
V125,2.024,-1.473,0.017
V126,2.891,-1.835,0.016
V127,4.03,0.651,0.194
V128,2.51,-1.615,0.024
V129,8.108,1.35,0.238
V130,1.185,-1.583,0.02
V131,2.212,-1.474,0.048
V132,0.93,-1.521,0.027
V133,4.947,-1.983,0.014
V134,8.959,0.865,0.331
V135,-0.308,-2.189,0.014
V136,-3.184,-2.422,0.057
V137,1.306,-1.723,0.023
V138,-0.355,-3.75,0.012
V139,4.947,-1.984,0.014
V140,2.067,-1.283,0.02
V141,4.947,-1.984,0.014
V142,4.946,-1.984,0.014
V143,-0.243,-14.376,0.033
V144,-0.41,-4.422,0.007
V145,9.035,0.473,0.343
V146,5.106,0.423,0.465
V147,4.541,-1.635,0.013
V148,4.487,-1.893,0.02
V149,4.127,-1.893,0.015
V150,4.946,-1.985,0.014
V151,-3.242,-2.277,0.048
V152,4.54,-1.635,0.013
V153,4.197,-1.091,0.306
V154,8.396,0.507,0.286
V155,2.009,-1.726,0.024
V156,0.621,-0.889,0.039
V157,-0.54,-3.447,0.004
V158,-0.723,-0.624,0.005
V159,0.88,-1.439,0.028
V160,1.435,-1.64,0.021
V161,0.381,-0.906,0.041
V162,5.536,-1.859,0.012
V163,-0.972,-2.111,0.004
V164,3.09,-1.943,0.014
V165,1.153,-0.065,0.089
V166,1.247,-1.947,0.03
V167,4.946,-1.984,0.014
V168,5.536,-1.859,0.012
V169,12.14,0.046,0.562
V170,-0.262,-1.356,0.055
V171,0.121,8.081,0.181
