Metodo,Acuracia
GaussianNB,0.7760656883298392
BernoulliNB,0.8244584206848359
KNeighborsClassifier(2),0.6568134171907757
KNeighborsClassifier(3),0.7053459119496854
KNeighborsClassifier(5),0.7052061495457722
KNeighborsClassifier(8),0.6736198462613556
DecisionTreeClassifier(),0.8243535988819009
RandomForestClassifier(3_estimators),0.8485324947589099
RandomForestClassifier(5_estimators),0.8522012578616354
RandomForestClassifier,0.8823200559049618
SVM,0.6004542278127184
MLPClassifier,0.7928371767994411
rand1,0.5265700483091788
rand2,0.4830917874396135
rand3,0.4830917874396135
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
