,Discriminacao,Dificuldade,Adivinhacao
V1,4.536,-1.954,0.002
V2,3.036,-1.915,0.006
V3,1.982,-2.254,0.012
V4,3.498,-2.139,0.006
V5,4.043,-2.116,0.003
V6,0.44,-5.731,0.11
V7,-0.762,-1.613,0.005
V8,1.388,-1.57,0.158
V9,2.975,-1.703,0.008
V10,1.027,-3.829,0.086
V11,-0.715,-2.246,0.001
V12,5.638,-1.784,0.002
V13,-1.691,-1.521,0.0
V14,3.487,0.002,0.544
V15,3.815,1.378,0.132
V16,1.202,-2.207,0.009
V17,0.672,-5.178,0.089
V18,17.553,-0.438,0.464
V19,3.498,-2.139,0.006
V20,9.115,-0.547,0.55
V21,1.031,-2.14,0.011
V22,3.919,-2.307,0.003
V23,0.868,-4.209,0.096
V24,13.722,0.951,0.518
V25,6.904,-0.36,0.615
V26,-4.072,-2.32,0.01
V27,0.67,-3.638,0.204
V28,4.613,-0.751,0.684
V29,-0.658,-1.462,0.001
V30,-0.724,-1.46,0.1
V31,0.945,-4.428,0.071
V32,0.869,-4.203,0.095
V33,7.827,-0.224,0.606
V34,-1.618,-1.861,0.004
V35,7.831,-1.076,0.268
V36,-0.672,-0.244,0.003
V37,3.148,-0.858,0.375
V38,1.935,-2.348,0.012
V39,7.103,1.266,0.239
V40,5.637,-1.785,0.002
V41,4.041,-2.116,0.003
V42,-4.654,-1.937,0.01
V43,1.505,-2.061,0.013
V44,4.533,-1.955,0.002
V45,-2.649,-2.21,0.008
V46,13.948,-0.144,0.485
V47,0.729,-1.91,0.02
V48,-2.173,-1.561,0.026
V49,-2.129,-1.584,0.0
V50,3.884,-1.99,0.006
V51,-3.415,-2.102,0.091
V52,2.688,-2.123,0.007
V53,0.915,-3.803,0.151
V54,3.182,-2.048,0.007
V55,4.253,-0.53,0.712
V56,1.922,-2.49,0.036
V57,4.039,-2.117,0.003
V58,4.039,-2.117,0.003
V59,1.767,-1.817,0.027
V60,-0.902,-1.426,0.004
V61,-2.568,-2.154,0.224
V62,-0.214,-1.07,0.044
V63,-1.429,-1.101,0.0
V64,2.695,-2.118,0.007
V65,-0.403,-11.01,0.013
V66,12.7,-0.094,0.486
V67,2.105,-2.118,0.006
V68,3.922,-2.302,0.003
V69,-3.51,-2.099,0.249
V70,10.445,-0.673,0.59
V71,1.624,-2.173,0.007
V72,3.949,-0.758,0.673
V73,3.884,-1.99,0.006
V74,2.391,-1.709,0.004
V75,-3.245,-2.542,0.41
V76,0.794,-2.305,0.017
V77,4.532,-1.956,0.002
V78,2.127,-2.078,0.013
V79,3.498,-2.139,0.006
V80,3.923,-2.3,0.003
V81,1.093,-1.946,0.115
V82,1.26,-2.346,0.016
V83,5.575,-1.05,0.593
V84,2.91,-1.834,0.005
V85,0.545,-3.181,0.02
V86,3.924,-2.299,0.003
V87,-4.992,-2.489,0.01
V88,-1.218,-2.196,0.0
V89,2.227,-2.365,0.012
V90,6.548,-0.417,0.659
V91,0.042,-10.362,0.028
V92,1.367,-1.933,0.008
V93,0.881,-0.835,0.008
V94,-0.552,-2.031,0.001
V95,3.638,-1.879,0.007
V96,3.949,-1.983,0.006
V97,12.203,0.084,0.428
V98,8.234,-1.251,0.164
V99,15.057,-0.352,0.572
V100,12.727,0.118,0.49
V101,7.244,-1.908,0.002
V102,1.061,-4.087,0.103
V103,2.919,-0.874,0.605
V104,-1.472,-2.343,0.027
V105,6.311,-1.243,0.003
V106,2.629,-1.213,0.004
V107,-0.529,-2.654,0.001
V108,3.187,-2.038,0.005
V109,19.18,-0.39,0.325
V110,2.682,-1.329,0.009
V111,0.443,-0.601,0.021
V112,0.274,-1.416,0.035
V113,19.365,-0.413,0.366
V114,4.529,-1.957,0.002
V115,2.568,-1.292,0.01
V116,8.409,-1.247,0.164
V117,13.315,-1.153,0.081
V118,4.528,-1.957,0.002
V119,1.421,-1.647,0.008
V120,8.887,-1.362,0.003
V121,6.382,-2.058,0.002
V122,-0.56,-2.172,0.001
V123,16.031,-0.05,0.409
V124,7.75,1.304,0.289
V125,2.763,-1.56,0.007
