Metodo,Acuracia
GaussianNB,0.7779874213836478
BernoulliNB,0.8301187980433264
KNeighborsClassifier(2),0.6381551362683437
KNeighborsClassifier(3),0.7090146750524109
KNeighborsClassifier(5),0.6957721872816213
KNeighborsClassifier(8),0.6640810621942697
DecisionTreeClassifier(),0.8432914046121593
RandomForestClassifier(3_estimators),0.8805380852550664
RandomForestClassifier(5_estimators),0.8617400419287211
RandomForestClassifier,0.8805730258560447
SVM,0.5892732354996506
MLPClassifier,0.7683787561146052
rand1,0.5265700483091788
rand2,0.4830917874396135
rand3,0.4830917874396135
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
