,Discriminacao,Dificuldade,Adivinhacao
V1,4.448,-1.973,0.001
V2,3.0,-1.964,0.002
V3,1.902,-2.208,0.004
V4,3.808,-2.145,0.002
V5,3.854,-2.147,0.001
V6,0.554,-3.969,0.283
V7,-1.159,-1.644,0.0
V8,4.046,-0.488,0.521
V9,3.458,-1.808,0.002
V10,1.008,-3.869,0.137
V11,10.758,0.545,0.406
V12,5.905,-1.805,0.0
V13,-1.712,-1.826,0.0
V14,3.208,0.017,0.498
V15,12.714,-0.041,0.333
V16,-0.052,17.049,0.084
V17,0.802,-3.575,0.288
V18,7.058,-0.679,0.63
V19,3.808,-2.145,0.002
V20,5.07,-0.349,0.589
V21,2.146,-1.74,0.019
V22,3.761,-2.32,0.001
V23,0.861,-4.157,0.177
V24,10.114,0.952,0.386
V25,10.365,-0.379,0.575
V26,-3.331,-2.338,0.009
V27,7.791,-0.36,0.746
V28,12.571,-0.387,0.621
V29,-0.708,-1.451,0.0
V30,-1.144,-1.579,0.0
V31,0.96,-4.347,0.084
V32,0.86,-4.164,0.175
V33,18.64,-0.341,0.562
V34,-2.868,-2.124,0.039
V35,2.365,-1.835,0.034
V36,-1.187,-0.918,0.0
V37,3.381,-0.737,0.383
V38,1.876,-2.455,0.004
V39,21.974,-0.095,0.437
V40,5.904,-1.805,0.0
V41,3.853,-2.147,0.001
V42,-3.264,-1.915,0.008
V43,0.826,-1.912,0.009
V44,4.445,-1.973,0.0
V45,-2.038,-2.068,0.0
V46,1.83,-0.737,0.564
V47,1.258,-1.919,0.004
V48,-2.36,-1.637,0.0
V49,-2.033,-1.968,0.0
V50,4.251,-1.978,0.002
V51,-2.809,-2.09,0.007
V52,2.718,-2.12,0.002
V53,3.299,-1.286,0.719
V54,3.197,-2.061,0.002
V55,10.4,-0.467,0.671
V56,1.412,-2.422,0.02
V57,3.852,-2.147,0.001
V58,3.852,-2.147,0.001
V59,2.266,-2.34,0.004
V60,-1.132,-1.653,0.001
V61,-4.473,-2.556,0.236
V62,0.065,-0.657,0.154
V63,-1.562,-1.672,0.0
V64,2.715,-2.122,0.002
V65,10.366,-0.035,0.25
V66,14.88,-0.048,0.438
V67,1.041,-2.495,0.003
V68,3.757,-2.32,0.001
V69,-3.751,-2.007,0.046
V70,5.776,-0.114,0.658
V71,1.467,-2.418,0.004
V72,10.647,-0.592,0.681
V73,4.251,-1.978,0.002
V74,0.453,-2.498,0.007
V75,-1.513,-1.768,0.0
V76,1.273,-2.251,0.004
V77,1.752,-2.069,0.002
V78,1.885,-2.008,0.005
V79,3.203,-2.06,0.002
V80,3.757,-2.32,0.001
V81,4.963,-0.286,0.58
V82,1.04,-2.21,0.007
V83,3.095,-1.079,0.612
V84,1.794,-1.874,0.001
V85,0.073,-13.901,0.08
V86,3.756,-2.32,0.001
V87,-4.299,-2.523,0.01
V88,-1.186,-1.759,0.0
V89,2.149,-2.24,0.005
V90,15.534,-0.355,0.645
V91,-0.747,-0.507,0.0
V92,0.313,-2.208,0.015
V93,1.159,-0.987,0.001
V94,-0.378,-2.345,0.001
V95,9.317,-2.05,0.0
V96,4.264,-1.977,0.002
V97,13.679,0.077,0.417
V98,3.448,-1.627,0.006
V99,25.073,-0.448,0.478
V100,13.603,0.123,0.481
V101,10.623,-1.948,0.0
V102,-0.892,1.127,0.001
V103,-0.433,-0.5,0.003
V104,-4.222,-2.586,0.066
V105,4.92,-1.348,0.001
V106,2.383,-1.268,0.001
V107,-0.539,-2.446,0.0
V108,9.319,-2.05,0.0
V109,24.731,-0.318,0.229
V110,3.682,-1.467,0.004
V111,0.716,-0.892,0.002
V112,0.236,-1.298,0.017
V113,24.72,-0.352,0.333
V114,4.444,-1.973,0.0
V115,2.935,-1.299,0.005
V116,3.399,-1.718,0.003
V117,4.44,-1.554,0.008
V118,4.443,-1.973,0.0
V119,2.028,-1.509,0.003
V120,9.578,-1.504,0.001
V121,9.322,-2.05,0.0
V122,-0.556,-2.398,0.0
V123,19.087,0.006,0.417
V124,3.037,0.284,0.265
V125,8.819,-1.345,0.084
V126,3.416,-1.636,0.002
V127,2.403,0.18,0.295
V128,11.203,-1.279,0.166
V129,16.447,-0.102,0.208
V130,4.412,-1.643,0.003
V131,2.872,-1.876,0.002
V132,1.155,-1.441,0.002
V133,5.899,-1.805,0.0
V134,14.783,0.958,0.365
V135,-0.461,-3.978,0.0
V136,-4.221,-2.586,0.066
V137,1.76,-2.156,0.002
V138,-0.497,-3.606,0.0
V139,5.898,-1.805,0.0
V140,3.121,-1.339,0.001
V141,3.629,-1.899,0.001
V142,4.376,-1.647,0.003
V143,-0.269,-12.916,0.002
V144,-0.5,-4.531,0.0
V145,1.213,2.391,0.368
V146,10.353,0.471,0.482
V147,11.845,-1.432,0.0
V148,10.628,-1.948,0.0
V149,5.896,-1.805,0.0
V150,3.418,-1.634,0.002
V151,-2.961,-2.321,0.06
