Metodo,Acuracia
GaussianNB,0.6558441558441558
BernoulliNB,0.47970779220779225
KNeighborsClassifier(2),0.7388636363636364
KNeighborsClassifier(3),0.7372077922077922
KNeighborsClassifier(5),0.7084415584415585
KNeighborsClassifier(8),0.672435064935065
DecisionTreeClassifier(),0.7083766233766233
RandomForestClassifier(3_estimators),0.7010389610389611
RandomForestClassifier(5_estimators),0.7370454545454546
RandomForestClassifier,0.7822077922077921
SVM,0.6505519480519479
MLPClassifier,0.655974025974026
rand1,0.5714285714285714
rand2,0.5085714285714286
rand3,0.5428571428571428
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
