,Discriminacao,Dificuldade,Adivinhacao
V1,1.96,-2.127,0.0
V2,66.827,-0.712,0.143
V3,22.028,-2.068,0.0
V4,3.188,-1.637,0.0
V5,20.245,-2.118,0.0
V6,3.814,-1.114,0.0
V7,-1.395,-1.322,0.23
V8,5.512,1.373,0.031
V9,22.026,-2.068,0.0
V10,20.255,-2.118,0.0
V11,1.269,-1.351,0.0
V12,95.258,0.997,0.344
V13,38.465,-1.309,0.0
V14,81.756,0.203,0.706
V15,3.23,-2.118,0.0
V16,13.295,-1.423,0.167
V17,71.966,1.351,0.06
V18,46.888,-1.36,0.0
V19,1.496,-2.598,0.0
V20,4.2,1.881,0.011
V21,4.175,1.682,0.085
V22,4.087,1.895,0.074
V23,57.141,1.371,0.242
V24,1.925,-2.292,0.0
V25,1.547,-0.773,0.0
V26,0.969,-0.303,0.0
V27,3.226,-2.118,0.0
V28,83.934,1.358,0.091
V29,4.226,1.703,0.032
V30,5.092,-1.764,0.0
V31,2.675,-1.921,0.0
V32,29.523,2.052,0.036
V33,1.473,1.426,0.024
V34,3.227,-2.118,0.0
V35,27.945,-1.367,0.167
V36,46.659,2.397,0.027
V37,2.355,-2.29,0.0
V38,12.358,-1.429,0.166
V39,82.58,-0.669,0.143
V40,2.812,-2.028,0.0
V41,4.384,-1.672,0.0
V42,4.27,1.924,0.032
V43,3.888,1.741,0.051
V44,49.024,1.369,0.041
V45,2.532,0.697,0.129
V46,1.624,0.835,0.045
V47,44.691,2.386,0.009
V48,3.97,-1.921,0.0
V49,2.057,-0.648,0.049
V50,45.702,2.05,0.009
V51,1.751,-1.781,0.0
V52,3.969,-1.922,0.0
V53,3.969,-1.922,0.0
V54,52.217,2.05,0.027
V55,34.944,-1.391,0.0
V56,31.329,-1.366,0.168
V57,3.23,-2.118,0.0
V58,2.955,-0.645,0.0
V59,144.973,0.23,0.486
V60,4.861,2.005,0.021
V61,62.9,1.361,0.04
V62,43.009,-1.405,0.0
V63,1.142,-2.211,0.0
V64,1.442,-2.859,0.0
V65,1.041,-3.093,0.0
V66,39.695,-1.35,0.167
V67,2.676,-1.921,0.0
V68,67.973,1.382,0.08
V69,4.053,1.779,0.075
V70,3.23,-2.118,0.0
V71,2.265,-2.154,0.0
V72,4.14,1.811,0.032
V73,41.124,-1.386,0.0
V74,0.59,0.944,0.001
V75,5.516,-1.145,0.0
V76,2.746,-0.587,0.0
V77,4.272,-1.398,0.0
V78,97.138,0.695,0.466
V79,0.4,1.862,0.001
V80,36.775,-2.011,0.0
V81,24.765,-2.066,0.0
V82,5.358,0.139,0.075
V83,1.637,-0.971,0.0
V84,49.145,1.347,0.282
V85,2.811,-2.029,0.0
V86,0.976,0.258,0.0
V87,3.227,-2.118,0.0
V88,45.03,1.349,0.131
V89,19.792,-2.029,0.0
V90,1.304,3.508,0.199
V91,1.334,-0.691,0.0
V92,4.916,2.002,0.021
V93,1.722,-1.706,0.0
V94,1.989,-2.657,0.0
V95,1.152,-0.698,0.0
V96,3.069,-0.37,0.0
V97,2.359,-2.289,0.0
V98,82.39,-1.051,0.143
V99,4.157,-1.578,0.0
V100,20.314,-2.117,0.0
V101,72.099,1.361,0.192
V102,0.717,-2.187,0.0
V103,22.024,-2.068,0.0
V104,2.064,-1.273,0.0
V105,0.731,-0.736,0.0
V106,85.846,0.028,0.309
V107,43.093,-1.405,0.0
V108,2.638,-1.218,0.0
V109,3.226,-2.118,0.0
V110,2.808,-2.029,0.0
V111,2.663,-2.402,0.0
V112,5.603,1.27,0.088
V113,3.98,0.458,0.044
V114,1.154,-0.563,0.0
V115,51.486,-0.68,0.143
V116,22.021,-2.068,0.0
V117,81.557,1.366,0.08
V118,85.756,1.362,0.071
V119,2.715,-0.717,0.0
V120,19.793,-2.029,0.0
V121,3.227,-2.118,0.0
V122,44.234,2.413,0.018
V123,4.441,-1.66,0.012
V124,2.663,-2.402,0.0
V125,4.112,0.344,0.257
V126,-0.79,3.642,0.0
V127,-0.887,3.842,0.0
V128,-2.754,-2.425,0.01
V129,-28.489,-2.543,0.076
V130,-1.366,2.363,0.0
V131,-0.849,1.605,0.0
V132,-0.546,4.106,0.0
V133,-0.891,1.79,0.0
V134,-1.143,2.124,0.0
V135,-0.656,3.218,0.0
V136,-2.575,-0.788,0.218
V137,-2.798,-1.754,0.033
V138,-0.698,3.181,0.0
V139,-2.59,-1.255,0.023
V140,-2.253,-0.714,0.14
V141,-0.793,2.292,0.0
V142,-0.361,-0.384,0.0
V143,-0.939,3.384,0.0
V144,-2.343,-0.89,0.086
V145,-2.05,-2.165,0.014
V146,-32.653,-2.093,0.009
V147,-2.839,-1.614,0.012
V148,-0.102,11.103,0.001
V149,-3.199,-1.466,0.056
V150,-0.632,3.677,0.0
V151,-0.414,2.393,0.0
V152,-0.614,4.195,0.0
V153,-0.745,3.949,0.0
V154,-0.724,2.284,0.0
V155,-0.672,3.642,0.0
V156,-0.53,4.353,0.0
V157,-0.358,8.431,0.0
V158,-0.656,3.844,0.0
V159,-4.718,-1.087,0.01
V160,-1.093,2.341,0.0
V161,-0.662,2.609,0.0
V162,-2.278,-1.652,0.024
V163,-0.114,8.815,0.0
V164,-2.41,-0.502,0.051
V165,-0.719,3.342,0.0
V166,-0.938,3.385,0.0
V167,-1.861,-1.848,0.084
V168,-0.906,2.844,0.0
V169,-2.839,-1.614,0.012
V170,-2.723,-1.14,0.058
V171,-0.757,3.001,0.0
V172,-0.818,1.767,0.0
V173,-0.839,3.109,0.0
V174,-3.324,-2.129,0.01
V175,-0.172,-0.526,0.0
