Metodo,Acuracia
GaussianNB,0.7165400350672122
BernoulliNB,0.496551724137931
KNeighborsClassifier(2),0.7476621858562245
KNeighborsClassifier(3),0.7458796025715956
KNeighborsClassifier(5),0.7560783167738163
KNeighborsClassifier(8),0.761104617182934
DecisionTreeClassifier(),0.7354178842781999
RandomForestClassifier(3_estimators),0.7683518410286382
RandomForestClassifier(5_estimators),0.7939801285797778
RandomForestClassifier,0.7972238457042664
SVM,0.769812974868498
MLPClassifier,0.7389246054938632
rand1,0.5714285714285714
rand2,0.5085714285714286
rand3,0.5428571428571428
majoritario,0.2857142857142857
minoritario,0.7142857142857143
pessimo,0.0
otimo,1.0
