,Discriminacao,Dificuldade,Adivinhacao
V1,1.503,-2.763,0.005
V2,19.56,-0.818,0.133
V3,9.236,-1.855,0.457
V4,2.12,-1.95,0.001
V5,2.781,-2.865,0.0
V6,3.144,-0.989,0.0
V7,1.066,3.012,0.291
V8,5.739,1.886,0.021
V9,9.256,-1.854,0.457
V10,2.781,-2.865,0.0
V11,0.985,-1.782,0.001
V12,1.225,0.402,0.0
V13,12.604,-1.303,0.0
V14,2.327,-1.986,0.01
V15,3.354,-2.202,0.004
V16,4.438,-1.705,0.01
V17,4.915,1.03,0.028
V18,14.514,-1.374,0.0
V19,3.354,-2.202,0.004
V20,14.496,1.428,0.0
V21,20.819,1.252,0.091
V22,4.767,1.413,0.041
V23,9.929,1.421,0.291
V24,1.19,-3.189,0.012
V25,1.296,-1.093,0.0
V26,1.048,-0.801,0.0
V27,6.32,-1.549,0.528
V28,28.799,1.008,0.07
V29,3.043,1.983,0.022
V30,4.154,-1.979,0.004
V31,1.756,-2.382,0.003
V32,4.119,1.844,0.031
V33,3.228,2.058,0.011
V34,6.665,-1.564,0.492
V35,8.087,-1.418,0.14
V36,3.317,2.081,0.022
V37,1.278,-3.28,0.01
V38,5.416,-1.805,0.0
V39,3.057,-0.887,0.079
V40,10.817,-1.374,0.509
V41,2.342,-1.988,0.001
V42,4.381,1.807,0.021
V43,4.314,1.55,0.021
V44,18.023,1.371,0.01
V45,1.358,-0.312,0.003
V46,3.363,1.099,0.035
V47,11.286,2.108,0.009
V48,4.016,-1.983,0.004
V49,1.424,-1.027,0.0
V50,14.235,2.0,0.009
V51,1.365,-2.345,0.002
V52,3.991,-1.983,0.004
V53,3.991,-1.983,0.004
V54,6.947,1.929,0.033
V55,11.796,-1.462,0.0
V56,3.381,-1.774,0.029
V57,3.34,-2.209,0.004
V58,3.318,-0.855,0.0
V59,0.832,-0.597,0.011
V60,4.38,1.692,0.011
V61,14.835,1.406,0.03
V62,12.86,-1.523,0.0
V63,1.049,-2.665,0.003
V64,9.274,-1.854,0.457
V65,1.143,-3.077,0.005
V66,8.398,-1.415,0.14
V67,1.756,-2.382,0.003
V68,17.591,1.356,0.06
V69,15.963,1.433,0.04
V70,3.354,-2.202,0.004
V71,1.503,-2.764,0.005
V72,4.371,1.528,0.011
V73,11.774,-1.466,0.0
V74,0.575,0.691,0.004
V75,14.262,-1.375,0.0
V76,1.667,-0.858,0.0
V77,2.498,-1.734,0.0
V78,1.232,-1.443,0.007
V79,0.398,1.594,0.007
V80,11.02,-1.951,0.0
V81,8.234,-2.18,0.0
V82,3.074,0.386,0.034
V83,1.31,-1.194,0.0
V84,3.655,0.829,0.28
V85,10.864,-1.374,0.509
V86,1.221,-0.018,0.0
V87,6.701,-1.564,0.489
V88,2.562,1.535,0.077
V89,9.148,-2.051,0.0
V90,2.621,3.48,0.135
V91,1.173,-0.28,0.0
V92,5.639,1.894,0.021
V93,1.068,-2.39,0.001
V94,1.713,-3.024,0.012
V95,0.661,-0.894,0.0
