Metodo,Acuracia
GaussianNB,0.8912517780938833
BernoulliNB,0.9150782361308677
KNeighborsClassifier(2),0.8198435277382646
KNeighborsClassifier(3),0.8808677098150783
KNeighborsClassifier(5),0.8993598862019916
KNeighborsClassifier(8),0.9018492176386912
DecisionTreeClassifier(),0.8783783783783784
RandomForestClassifier(3_estimators),0.9020625889046942
RandomForestClassifier(5_estimators),0.9098862019914652
RandomForestClassifier,0.9071123755334283
SVM,0.9150782361308677
MLPClassifier,0.90448079658606
rand1,0.5493827160493827
rand2,0.4506172839506173
rand3,0.5617283950617284
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
