Metodo,Acuracia
GaussianNB,0.9074074074074074
BernoulliNB,0.9135802469135802
KNeighborsClassifier(2),0.7777777777777778
KNeighborsClassifier(3),0.8765432098765432
KNeighborsClassifier(5),0.8827160493827161
KNeighborsClassifier(8),0.9074074074074074
DecisionTreeClassifier(),0.8641975308641975
RandomForestClassifier(3_estimators),0.8888888888888888
RandomForestClassifier(5_estimators),0.9074074074074074
RandomForestClassifier,0.9135802469135802
SVM,0.9135802469135802
MLPClassifier,0.9012345679012346
rand1,0.5493827160493827
rand2,0.4506172839506173
rand3,0.5617283950617284
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
