,Discriminacao,Dificuldade,Adivinhacao
V1,35.128,-1.391,0.0
V2,31.321,-1.36,0.0
V3,30.18,-0.501,0.0
V4,35.133,-1.391,0.0
V5,28.733,-1.322,0.0
V6,13.272,-1.36,0.0
V7,35.138,-1.391,0.0
V8,17.477,-1.423,0.0
V9,17.516,-1.297,0.0
V10,29.678,0.414,0.701
V11,-2.067,-0.99,0.0
V12,25.931,-0.708,0.333
V13,-2.02,-1.664,0.0
V14,17.476,-1.423,0.0
V15,-2.572,-0.797,0.0
V16,27.342,-1.32,0.0
V17,2.352,-1.536,0.0
V18,11.567,-0.065,0.333
V19,31.082,-1.36,0.0
V20,89.1,-0.008,0.333
V21,2.613,-0.915,0.0
V22,2.714,-1.235,0.0
V23,23.169,-0.814,0.667
V24,17.495,-1.297,0.0
V25,23.162,-0.813,0.667
V26,-1.798,-0.681,0.0
V27,31.083,-1.36,0.0
V28,2.061,-1.437,0.0
V29,31.323,-1.36,0.0
V30,2.714,-1.235,0.0
V31,2.352,-1.535,0.0
V32,2.714,-1.235,0.0
V33,25.911,-0.705,0.333
V34,40.74,-0.007,0.0
V35,-2.159,-1.22,0.0
V36,26.87,-1.36,0.0
V37,3.279,-0.948,0.0
V38,2.714,-1.235,0.0
V39,24.329,-0.774,0.5
V40,23.141,-0.812,0.667
V41,25.891,-0.703,0.333
V42,24.438,-1.36,0.0
V43,23.127,-0.811,0.667
V44,2.065,-1.434,0.0
V45,13.272,-1.36,0.0
V46,27.334,-1.32,0.0
V47,2.352,-1.536,0.0
V48,25.877,-0.701,0.333
V49,24.436,-1.36,0.0
V50,-2.067,-0.99,0.0
V51,2.087,-1.896,0.0
V52,13.273,-1.36,0.0
V53,-1.774,-2.075,0.0
V54,27.326,-1.32,0.0
V55,27.782,-1.399,0.0
V56,24.277,-0.772,0.5
V57,-2.159,-1.221,0.0
V58,24.433,-1.36,0.0
V59,34.753,-0.019,0.167
V60,26.878,-1.36,0.0
V61,27.782,-1.399,0.0
V62,17.474,-1.423,0.0
V63,2.352,-1.535,0.0
V64,12.726,-0.023,0.5
V65,26.886,-1.36,0.0
V66,13.273,-1.36,0.0
V67,23.104,-0.809,0.667
V68,24.256,-0.771,0.5
V69,23.089,-0.808,0.667
V70,26.893,-1.36,0.0
V71,2.352,-1.536,0.0
V72,31.083,-1.36,0.0
V73,2.062,-1.436,0.0
V74,28.057,-0.586,0.167
V75,29.88,-0.499,0.0
V76,27.783,-1.399,0.0
V77,34.521,0.012,0.167
V78,24.431,-1.36,0.0
V79,24.429,-1.36,0.0
V80,29.859,-0.499,0.0
V81,13.273,-1.36,0.0
V82,25.817,-0.694,0.333
V83,24.194,-0.768,0.5
V84,1.566,-1.594,0.0
V85,28.72,-1.322,0.0
V86,27.784,-1.399,0.0
V87,2.714,-1.235,0.0
V88,27.98,-0.584,0.167
V89,2.429,-1.123,0.0
V90,-1.774,-2.075,0.0
V91,13.273,-1.36,0.0
V92,24.174,-0.767,0.5
V93,27.95,-0.583,0.167
V94,24.427,-1.36,0.0
V95,13.273,-1.36,0.0
V96,25.777,-0.69,0.333
V97,2.352,-1.535,0.0
V98,2.714,-1.235,0.0
V99,2.714,-1.235,0.0
V100,29.741,-0.06,0.5
V101,44.69,-0.024,0.167
V102,29.718,-0.498,0.0
V103,31.325,-1.36,0.0
V104,27.318,-1.32,0.0
V105,24.425,-1.36,0.0
V106,26.901,-1.36,0.0
V107,31.327,-1.36,0.0
V108,38.894,0.01,0.167
V109,24.133,-0.765,0.5
V110,3.279,-0.948,0.0
V111,101.458,0.042,0.697
V112,31.084,-1.36,0.0
V113,27.887,-0.582,0.167
V114,26.909,-1.36,0.0
V115,24.112,-0.764,0.5
V116,6.022,0.067,0.166
V117,13.274,-1.36,0.0
V118,2.352,-1.536,0.0
V119,27.784,-1.399,0.0
V120,27.856,-0.581,0.167
V121,-1.843,-1.554,0.0
V122,-2.083,-0.874,0.0
V123,-2.02,-1.665,0.0
V124,22.964,-0.8,0.667
V125,2.352,-1.535,0.0
V126,24.423,-1.36,0.0
V127,35.761,-0.008,0.167
V128,28.708,-1.321,0.0
V129,-2.021,-1.663,0.0
V130,39.284,-0.007,0.0
V131,25.719,-0.684,0.333
V132,22.776,0.535,0.45
V133,47.982,-0.014,0.167
V134,41.795,-0.025,0.167
V135,17.473,-1.423,0.0
V136,2.352,-1.536,0.0
V137,17.471,-1.423,0.0
V138,17.474,-1.297,0.0
V139,22.947,-0.799,0.667
V140,2.234,-1.043,0.0
V141,1.768,-1.43,0.0
V142,22.938,-0.799,0.667
V143,17.453,-1.297,0.0
V144,-2.334,-1.33,0.0
V145,27.777,-0.579,0.167
V146,25.684,-0.681,0.333
V147,2.714,-1.235,0.0
V148,1.948,-1.321,0.0
V149,42.535,0.022,0.501
V150,24.421,-1.36,0.0
V151,26.917,-1.36,0.0
V152,2.714,-1.235,0.0
V153,30.609,-0.043,0.0
V154,27.746,-0.578,0.167
V155,24.022,-0.759,0.5
V156,13.274,-1.36,0.0
V157,35.744,-0.008,0.167
V158,2.064,-1.435,0.0
V159,17.47,-1.423,0.0
V160,13.274,-1.36,0.0
V161,6.733,0.273,0.335
V162,5.276,0.025,0.332
