Metodo,Acuracia
GaussianNB,0.8209876543209876
BernoulliNB,0.08641975308641975
KNeighborsClassifier(2),0.6234567901234568
KNeighborsClassifier(3),0.6728395061728395
KNeighborsClassifier(5),0.6481481481481481
KNeighborsClassifier(8),0.6172839506172839
DecisionTreeClassifier(),0.8703703703703703
RandomForestClassifier(3_estimators),0.8395061728395061
RandomForestClassifier(5_estimators),0.845679012345679
RandomForestClassifier,0.8765432098765432
SVM,0.6111111111111112
MLPClassifier,0.8395061728395061
rand1,0.5370370370370371
rand2,0.41358024691358025
rand3,0.5123456790123457
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
