,Discriminacao,Dificuldade,Adivinhacao
V1,0.383,-5.129,0.0
V2,0.486,-5.656,0.001
V3,2.641,0.933,0.024
V4,0.453,-5.135,0.0
V5,0.764,-3.376,0.0
V6,0.801,-3.391,0.0
V7,0.512,-4.196,0.0
V8,0.788,-3.103,0.0
V9,0.896,-2.616,0.0
V10,0.996,-1.268,0.182
V11,1.156,-3.181,0.0
V12,4.262,1.522,0.009
V13,1.094,-1.847,0.251
V14,-0.013,207.297,0.085
V15,-28.481,-2.088,0.049
V16,-3.581,-1.304,0.074
V17,-2.923,-0.565,0.077
V18,-25.002,1.339,0.2
V19,-21.692,1.36,0.0
V20,-16.469,-2.863,0.036
V21,-32.781,1.326,0.0
V22,-5.553,-2.452,0.029
V23,-2.264,1.668,0.0
V24,-1.639,0.381,0.0
V25,-4.706,-2.374,0.059
V26,-23.604,-2.683,0.018
V27,-5.197,1.337,0.0
V28,-3.11,-0.501,0.203
V29,-23.729,1.36,0.0
V30,-26.643,-2.692,0.036
V31,-36.481,0.056,0.106
V32,-27.806,0.0,0.079
V33,-5.088,1.114,0.0
V34,-49.748,1.031,0.0
V35,-4.348,-0.073,0.061
V36,-5.63,-0.254,0.105
V37,-2.145,0.325,0.0
V38,-5.626,-2.461,0.039
V39,-3.273,-1.212,0.054
V40,-2.441,-2.867,0.066
V41,-1.796,-0.986,0.016
V42,-6.579,1.188,0.0
V43,-22.737,1.408,0.0
V44,-22.808,1.408,0.0
V45,-26.502,-2.064,0.039
V46,-6.578,1.188,0.0
V47,-4.876,-2.604,0.05
V48,-25.255,1.36,0.0
V49,-3.987,-2.15,0.045
V50,-28.108,-1.404,0.024
V51,-5.415,-1.698,0.05
V52,-5.756,-2.471,0.049
V53,-3.133,-0.574,0.067
V54,-25.998,1.318,0.0
V55,-23.374,-2.014,0.068
V56,-2.408,-1.751,0.03
V57,-2.809,0.615,0.0
V58,-6.581,1.188,0.0
V59,-1.549,2.301,0.0
V60,-4.687,-2.343,0.02
V61,-3.063,-2.795,0.032
V62,-22.872,1.408,0.0
V63,-22.869,1.408,0.0
V64,-4.37,1.505,0.0
V65,-1.477,2.526,0.0
V66,-4.466,-2.248,0.02
V67,-9.092,-2.841,0.045
V68,-42.733,-1.731,0.039
V69,-18.366,2.051,0.0
V70,-2.175,-0.799,0.039
V71,-22.948,1.408,0.0
V72,-1.539,-1.017,0.026
V73,-3.99,1.879,0.0
V74,-25.054,-2.688,0.027
V75,-2.686,-0.319,0.0
V76,-2.134,0.427,0.0
V77,-3.339,1.099,0.0
V78,-4.962,-0.083,0.167
V79,-6.29,-0.293,0.052
V80,-49.746,1.031,0.0
V81,-23.504,1.36,0.0
V82,-1.404,2.439,0.0
V83,-2.543,-1.403,0.051
V84,-3.988,1.878,0.0
V85,-24.95,1.339,0.2
V86,-25.569,-2.69,0.045
V87,-38.546,-0.739,0.104
V88,-4.424,1.007,0.0
V89,-1.336,-2.663,0.036
V90,-5.203,1.337,0.0
V91,-26.154,-2.062,0.019
V92,-4.705,-2.351,0.03
V93,-3.91,0.293,0.0
V94,-6.257,0.334,0.112
V95,-4.671,-2.335,0.01
V96,-4.287,-0.414,0.049
V97,-25.389,-2.066,0.058
V98,-1.903,1.341,0.0
V99,-6.903,-0.362,0.08
V100,-3.992,1.878,0.0
V101,-41.671,-1.733,0.019
V102,-3.676,1.228,0.0
V103,-2.754,1.181,0.0
V104,-3.94,-1.207,0.024
V105,-3.569,-2.988,0.011
V106,-5.205,1.337,0.0
V107,-23.726,1.36,0.0
V108,-6.578,1.188,0.0
V109,-2.558,0.631,0.0
V110,-1.977,1.784,0.0
V111,-3.881,-0.306,0.114
V112,-1.826,1.973,0.0
V113,-32.78,1.326,0.0
V114,-23.92,1.36,0.0
V115,-35.305,0.046,0.079
V116,-1.404,2.439,0.0
V117,-55.819,0.381,0.078
V118,-24.407,-1.423,0.084
V119,-28.927,-2.122,0.039
V120,-37.048,0.768,0.0
V121,-4.467,-2.256,0.03
V122,-34.158,-2.024,0.039
V123,-25.997,1.318,0.0
V124,-17.725,2.051,0.0
V125,-1.477,2.526,0.0
V126,-32.936,-0.655,0.07
V127,-32.114,1.326,0.0
V128,-2.943,-0.908,0.054
V129,-32.134,0.674,0.222
V130,-22.267,-2.133,0.01
V131,-33.461,0.049,0.053
V132,-23.322,1.407,0.0
V133,-1.404,2.439,0.0
V134,-23.455,-2.682,0.009
V135,-2.815,0.096,0.08
V136,-21.689,1.36,0.0
V137,-3.34,-2.362,0.08
V138,-4.671,-2.335,0.01
V139,-17.787,2.051,0.0
V140,-4.491,-2.162,0.03
V141,-4.97,-1.986,0.049
V142,-25.396,-2.016,0.049
V143,-24.961,1.339,0.2
V144,-32.778,1.326,0.0
V145,-49.745,1.031,0.0
V146,-5.752,-2.471,0.049
V147,-29.008,0.017,0.053
V148,-5.98,0.425,0.328
V149,-29.115,-2.125,0.049
V150,-3.167,-2.337,0.058
V151,-2.782,1.233,0.0
V152,-34.833,-2.4,0.018
V153,-1.487,2.217,0.0
V154,-32.777,1.326,0.0
V155,-2.088,-1.032,0.031
V156,-25.996,1.318,0.0
V157,-1.676,-1.479,0.135
V158,-29.511,0.68,0.222
V159,-4.482,-1.323,0.042
V160,-29.248,-2.121,0.039
V161,-3.396,1.144,0.0
V162,-20.646,-2.837,0.027
