Metodo,Acuracia
GaussianNB,0.9522567287784678
BernoulliNB,0.4552173913043479
KNeighborsClassifier(2),0.8873706004140786
KNeighborsClassifier(3),0.9132298136645964
KNeighborsClassifier(5),0.9305590062111803
KNeighborsClassifier(8),0.9175983436853004
DecisionTreeClassifier(),0.9219668737060042
RandomForestClassifier(3_estimators),0.9363975155279503
RandomForestClassifier(5_estimators),0.942153209109731
RandomForestClassifier,0.9508488612836439
SVM,0.8061904761904761
MLPClassifier,0.9392753623188405
rand1,0.5370370370370371
rand2,0.41358024691358025
rand3,0.5123456790123457
majoritario,0.9135802469135802
minoritario,0.08641975308641975
pessimo,0.0
otimo,1.0
