Metodo,Acuracia
GaussianNB,0.7865646258503401
BernoulliNB,0.7991496598639456
KNeighborsClassifier(2),0.5820578231292518
KNeighborsClassifier(3),0.6605442176870748
KNeighborsClassifier(5),0.6623724489795919
KNeighborsClassifier(8),0.6460034013605441
DecisionTreeClassifier(),0.8219387755102041
RandomForestClassifier(3_estimators),0.8363520408163266
RandomForestClassifier(5_estimators),0.8322704081632653
RandomForestClassifier,0.8592261904761905
SVM,0.6416666666666667
MLPClassifier,0.7427721088435375
rand1,0.5024154589371981
rand2,0.5120772946859904
rand3,0.5120772946859904
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
