,Discriminacao,Dificuldade,Adivinhacao
V1,6.618,0.988,0.488
V2,12.74,-0.347,0.521
V3,1.685,-1.688,0.302
V4,4.086,-1.878,0.017
V5,1.529,-1.904,0.022
V6,4.861,-2.315,0.014
V7,2.512,-1.892,0.018
V8,-0.853,-0.567,0.003
V9,10.04,0.07,0.354
V10,3.609,-1.659,0.041
V11,5.266,-1.726,0.017
V12,-0.638,-0.723,0.003
V13,3.618,-1.595,0.316
V14,-2.897,-1.632,0.001
V15,-0.766,-0.32,0.003
V16,2.969,-2.199,0.019
V17,2.912,-1.739,0.035
V18,5.825,-2.007,0.011
V19,6.033,0.962,0.499
V20,10.599,-0.062,0.356
V21,-0.689,-3.76,0.003
V22,3.337,-2.032,0.019
V23,6.788,0.976,0.352
V24,8.453,0.109,0.335
V25,1.207,-1.963,0.022
V26,-0.959,-1.19,0.003
V27,5.641,-1.328,0.529
V28,2.494,-1.956,0.194
V29,0.751,-2.381,0.036
V30,3.082,-1.971,0.02
V31,-2.037,-2.56,0.017
V32,-2.067,-2.134,0.003
V33,13.913,-0.341,0.501
V34,5.825,-2.007,0.011
V35,3.127,-1.968,0.02
V36,2.515,-1.982,0.02
V37,1.013,-1.879,0.037
V38,5.997,-1.797,0.016
V39,1.859,-0.933,0.054
V40,4.043,-2.089,0.017
V41,10.232,-0.055,0.397
V42,8.467,0.085,0.292
V43,-2.039,-2.375,0.005
V44,3.576,-1.747,0.023
V45,-1.15,-1.561,0.002
V46,3.446,-2.031,0.018
V47,4.118,-1.874,0.018
V48,4.044,-1.88,0.018
V49,2.854,-1.903,0.023
V50,0.887,-1.788,0.044
V51,1.05,-1.455,0.029
V52,2.591,-2.052,0.017
V53,-0.552,-0.039,0.003
V54,1.424,-1.421,0.032
V55,4.815,-1.936,0.016
V56,1.043,-0.972,0.058
V57,4.013,-1.886,0.018
V58,-0.728,-1.52,0.003
V59,2.216,-1.796,0.022
V60,1.158,-1.574,0.018
V61,-1.426,-2.388,0.006
V62,7.432,0.576,0.364
V63,-2.775,-1.777,0.001
V64,5.231,-1.464,0.312
V65,0.704,-3.56,0.139
V66,-1.021,-1.141,0.003
V67,8.77,1.049,0.173
V68,14.484,-0.329,0.397
V69,1.601,-1.947,0.019
V70,8.011,-1.275,0.105
V71,3.734,-1.594,0.036
V72,-0.602,-0.84,0.005
V73,6.509,-1.892,0.302
V74,1.361,-1.436,0.037
V75,4.787,-1.939,0.017
V76,-2.442,-2.32,0.001
V77,13.161,-0.329,0.48
V78,-0.868,-0.496,0.003
V79,-2.865,-2.228,0.001
V80,6.077,-1.535,0.191
V81,-0.909,-1.196,0.003
V82,2.952,-1.812,0.027
V83,4.069,-2.084,0.017
V84,-1.341,-2.576,0.007
V85,2.918,-1.756,0.015
V86,0.934,-0.959,0.065
V87,-0.895,-0.801,0.003
V88,1.893,-1.403,0.016
V89,0.667,-2.764,0.2
V90,10.715,-0.091,0.356
V91,14.694,-0.322,0.356
V92,3.576,-1.747,0.025
V93,2.228,0.371,0.422
V94,5.215,-2.14,0.013
V95,13.866,-0.355,0.479
V96,4.088,-1.877,0.018
V97,2.364,-1.64,0.454
V98,-1.79,-1.344,0.002
V99,2.701,-1.282,0.012
V100,9.514,0.04,0.417
V101,3.397,-2.034,0.018
V102,-0.707,0.284,0.003
V103,6.818,-1.941,0.181
V104,3.759,-1.815,0.02
V105,-1.404,-1.656,0.002
V106,6.384,-2.071,0.199
V107,3.047,-2.193,0.018
V108,-0.93,-0.709,0.003
V109,1.38,-1.917,0.02
V110,6.697,-1.89,0.01
V111,-0.761,-2.183,0.002
V112,5.815,-0.168,0.546
V113,1.506,-1.987,0.026
V114,1.203,-1.485,0.027
V115,-1.785,-1.62,0.001
V116,-0.72,-2.468,0.008
V117,-0.829,-2.904,0.002
V118,10.519,-0.382,0.66
V119,-0.639,-2.523,0.003
V120,2.224,-1.806,0.022
V121,5.825,-2.007,0.011
V122,3.43,-2.033,0.018
V123,2.948,-1.812,0.027
V124,3.38,-2.026,0.019
V125,4.286,-0.152,0.537
V126,4.076,-1.879,0.018
V127,-0.675,-1.85,0.006
V128,-0.714,-0.334,0.005
V129,1.999,-2.126,0.018
V130,0.873,-1.611,0.034
V131,1.003,-1.501,0.125
V132,-1.193,-2.27,0.004
