Metodo,Acuracia
GaussianNB,0.7776734693877552
BernoulliNB,0.7774693877551021
KNeighborsClassifier(2),0.5813061224489796
KNeighborsClassifier(3),0.6253469387755102
KNeighborsClassifier(5),0.6253469387755102
KNeighborsClassifier(8),0.6033877551020408
DecisionTreeClassifier(),0.8056734693877552
RandomForestClassifier(3_estimators),0.8216734693877552
RandomForestClassifier(5_estimators),0.8357551020408163
RandomForestClassifier,0.8657959183673469
SVM,0.621387755102041
MLPClassifier,0.7274285714285714
rand1,0.4444444444444444
rand2,0.5507246376811594
rand3,0.45410628019323673
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
