Metodo,Acuracia
GaussianNB,0.7874396135265701
BernoulliNB,0.7874396135265701
KNeighborsClassifier(2),0.6231884057971014
KNeighborsClassifier(3),0.6859903381642513
KNeighborsClassifier(5),0.6521739130434783
KNeighborsClassifier(8),0.6231884057971014
DecisionTreeClassifier(),0.8067632850241546
RandomForestClassifier(3_estimators),0.8067632850241546
RandomForestClassifier(5_estimators),0.8454106280193237
RandomForestClassifier,0.8647342995169082
SVM,0.6859903381642513
MLPClassifier,0.7777777777777778
rand1,0.4444444444444444
rand2,0.5507246376811594
rand3,0.45410628019323673
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
