Metodo,Acuracia
GaussianNB,0.7971014492753623
BernoulliNB,0.8260869565217391
KNeighborsClassifier(2),0.6328502415458938
KNeighborsClassifier(3),0.6811594202898551
KNeighborsClassifier(5),0.6521739130434783
KNeighborsClassifier(8),0.6231884057971014
DecisionTreeClassifier(),0.7971014492753623
RandomForestClassifier(3_estimators),0.8454106280193237
RandomForestClassifier(5_estimators),0.855072463768116
RandomForestClassifier,0.8840579710144928
SVM,0.6908212560386473
MLPClassifier,0.8164251207729468
rand1,0.4444444444444444
rand2,0.5507246376811594
rand3,0.45410628019323673
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
