,Discriminacao,Dificuldade,Adivinhacao
V1,50.919,-1.387,0.0
V2,49.269,-0.671,0.231
V3,3.796,-0.381,0.136
V4,1.759,-1.751,0.0
V5,1.633,-2.235,0.0
V6,39.821,-0.722,0.385
V7,-2.422,-0.409,0.0
V8,3.43,-0.993,0.005
V9,-0.291,0.852,0.0
V10,37.974,-1.382,0.0
V11,3.912,-1.98,0.0
V12,22.133,-1.36,0.0
V13,-1.54,-2.142,0.0
V14,2.505,-1.749,0.0
V15,-2.202,-0.771,0.0
V16,4.056,-1.331,0.0
V17,143.659,0.004,0.167
V18,0.57,-0.066,0.0
V19,-1.835,-0.033,0.0
V20,53.129,-0.008,0.5
V21,-1.947,-1.305,0.0
V22,-1.228,-1.901,0.0
V23,75.033,-1.354,0.0
V24,4.212,0.127,0.313
V25,107.285,-0.692,0.0
V26,35.114,-2.049,0.0
V27,72.602,-0.694,0.231
V28,3.215,-0.877,0.0
V29,-1.812,-2.527,0.0
V30,2.813,-1.492,0.0
V31,2.874,-0.539,0.0
V32,53.639,-1.401,0.0
V33,-1.34,-2.17,0.0
V34,2.082,-0.555,0.0
V35,62.985,-1.627,0.0
V36,73.152,-0.686,0.0
V37,40.632,-1.394,0.0
V38,2.399,-1.902,0.0
V39,-1.935,-2.064,0.0
V40,2.723,-0.905,0.0
V41,45.139,-1.379,0.0
V42,77.254,-0.005,0.167
V43,2.505,-1.749,0.0
V44,-2.277,-0.37,0.0
V45,0.276,-1.501,0.0
V46,-2.448,-0.742,0.0
V47,61.019,-0.672,0.385
V48,35.169,-1.422,0.0
V49,2.176,-1.713,0.0
V50,2.794,2.524,0.084
V51,-2.108,-1.189,0.0
V52,-3.02,-1.385,0.0
V53,2.976,-0.462,0.099
V54,-2.809,-0.899,0.0
V55,-2.366,-0.413,0.0
V56,89.914,-0.689,0.0
V57,33.377,-0.687,0.154
V58,40.64,-1.394,0.0
V59,1.476,-2.193,0.0
V60,72.444,0.676,0.274
V61,24.541,-0.013,0.208
V62,35.124,-2.049,0.0
V63,37.792,-0.679,0.076
V64,-3.187,-0.815,0.0
V65,2.641,-1.613,0.0
V66,0.707,-0.291,0.0
V67,30.819,-0.687,0.154
V68,3.927,-1.978,0.0
V69,3.756,-1.418,0.0
V70,36.403,-0.717,0.075
V71,2.505,-1.749,0.0
V72,-3.938,-0.918,0.0
V73,-0.73,1.137,0.0
V74,-0.416,-2.496,0.0
V75,35.126,-2.049,0.0
V76,69.415,-1.36,0.0
V77,102.487,-0.003,0.208
V78,-1.124,-2.291,0.0
V79,-0.625,2.326,0.0
V80,2.083,-1.05,0.0
V81,-0.475,2.927,0.0
V82,1.095,-1.947,0.0
V83,-0.998,1.216,0.0
V84,3.408,-0.727,0.128
V85,3.913,-1.979,0.0
V86,1.752,-2.006,0.0
V87,118.369,1.988,0.094
V88,-2.316,-0.638,0.0
V89,0.423,1.132,0.0
V90,-0.141,-11.399,0.0
V91,-1.679,-0.693,0.0
V92,136.704,1.604,0.304
V93,3.027,-1.384,0.0
V94,2.946,-1.234,0.0
V95,1.987,-1.661,0.0
V96,57.179,1.638,0.672
V97,-2.602,-0.729,0.0
V98,40.675,-1.394,0.0
V99,-1.797,-0.439,0.0
V100,34.781,-0.697,0.462
V101,-0.829,-2.735,0.007
V102,-2.374,-2.259,0.0
V103,-2.042,-0.795,0.0
V104,114.231,1.373,0.138
V105,47.887,-1.406,0.0
V106,-1.982,0.032,0.0
V107,1.202,-2.184,0.0
V108,34.033,-1.348,0.33
V109,-3.273,-0.938,0.0
V110,-2.523,-0.858,0.0
V111,-2.149,-22.736,0.294
V112,3.031,-1.384,0.0
V113,3.437,-1.864,0.001
V114,50.91,-1.387,0.0
V115,-2.397,-0.02,0.0
V116,4.049,-1.33,0.0
V117,1.584,-1.969,0.0
V118,57.623,0.013,0.208
V119,3.4,-1.867,0.001
V120,4.61,-1.039,0.0
V121,0.286,-0.765,0.0
V122,69.028,-1.347,0.0
V123,37.968,-1.382,0.0
V124,-0.097,-4.995,0.0
V125,-2.222,0.012,0.0
V126,40.692,-1.394,0.0
V127,3.893,-1.981,0.0
V128,3.906,-1.979,0.0
V129,-2.0,-1.657,0.0
V130,1.382,-0.739,0.0
V131,2.508,0.723,0.215
V132,-0.559,0.894,0.0
V133,47.911,-1.406,0.0
V134,40.988,2.039,0.579
V135,-0.977,-1.088,0.617
V136,37.961,-1.382,0.0
V137,2.801,-0.836,0.0
V138,3.282,-0.938,0.0
V139,40.508,1.621,0.698
V140,14.086,1.684,0.75
V141,-1.643,-2.228,0.0
V142,-2.807,-0.899,0.0
V143,110.901,0.691,0.29
V144,3.906,-1.979,0.0
V145,-2.837,-0.962,0.0
V146,-2.833,-0.773,0.0
V147,3.915,-1.978,0.0
V148,-0.835,1.807,0.0
V149,57.651,-0.005,0.375
V150,91.771,0.686,0.237
V151,-0.551,0.686,0.0
V152,35.143,-2.049,0.0
V153,40.728,-1.394,0.0
V154,-2.557,-1.053,0.0
V155,38.798,-0.7,0.385
V156,-1.966,-0.573,0.0
V157,54.377,-0.694,0.079
V158,67.36,-0.681,0.0
V159,0.344,-2.012,0.0
V160,13.375,-1.374,0.336
V161,-2.66,-0.666,0.0
V162,35.164,-1.422,0.0
V163,3.952,-0.917,0.0
V164,39.068,-1.395,0.0
V165,3.031,-1.384,0.0
V166,-2.539,-0.465,0.045
V167,20.765,-0.755,0.462
V168,2.15,-1.515,0.0
V169,84.697,0.003,0.417
V170,2.34,-1.15,0.0
V171,63.023,-1.63,0.0
V172,81.109,-0.685,0.0
V173,0.86,-0.623,0.0
V174,-1.237,0.208,0.0
V175,2.954,-0.648,0.0
