,Discriminacao,Dificuldade,Adivinhacao
V1,8.786,-2.001,0.015
V2,2.167,-1.711,0.038
V3,2.094,-1.595,0.087
V4,-1.239,-1.499,0.0
V5,3.996,-1.691,0.106
V6,10.228,-1.767,0.276
V7,6.029,-1.699,0.004
V8,5.127,-2.046,0.319
V9,1.444,-1.47,0.118
V10,10.522,1.94,0.157
V11,1.326,-2.553,0.03
V12,16.651,-1.284,0.145
V13,-1.097,-1.986,0.0
V14,3.174,-1.257,0.104
V15,11.085,-1.763,0.279
V16,2.508,-1.831,0.227
V17,-1.006,-2.279,0.0
V18,6.543,2.051,0.294
V19,2.821,-1.77,0.022
V20,5.747,-1.215,0.375
V21,-0.53,-3.686,0.045
V22,-1.105,-0.74,0.0
V23,3.494,1.162,0.528
V24,-1.191,-1.287,0.0
V25,2.966,-1.478,0.004
V26,5.504,-2.275,0.001
V27,-1.108,-1.705,0.0
V28,4.657,1.13,0.603
V29,4.263,-2.055,0.021
V30,-0.678,-3.75,0.001
V31,-0.798,-3.262,0.0
V32,-1.153,-1.407,0.0
V33,11.048,-0.911,0.262
V34,15.945,1.676,0.273
V35,5.506,-2.275,0.001
V36,13.927,-1.725,0.004
V37,2.976,-1.936,0.017
V38,-0.127,-9.431,0.084
V39,-0.76,-2.404,0.201
V40,8.786,-2.001,0.015
V41,5.867,-2.123,0.001
V42,5.165,-1.004,0.074
V43,7.789,-1.758,0.021
V44,16.877,-0.792,0.21
V45,13.472,-1.441,0.003
V46,1.412,-1.346,0.015
V47,-0.407,-2.736,0.008
V48,1.819,-1.44,0.035
V49,8.205,-2.096,0.018
V50,17.786,-0.825,0.263
V51,-1.253,-1.476,0.0
V52,2.153,-1.775,0.059
V53,6.764,1.778,0.431
V54,8.313,0.441,0.541
V55,2.154,-2.211,0.024
V56,-0.988,-1.952,0.0
V57,-0.901,-2.708,0.0
V58,-1.171,-1.636,0.0
V59,2.584,-2.102,0.023
V60,8.786,-2.001,0.015
V61,0.038,31.554,0.146
V62,5.509,-2.275,0.001
V63,12.932,1.866,0.267
V64,1.148,-2.378,0.027
V65,6.158,-1.643,0.412
V66,-0.928,-1.847,0.0
V67,7.303,-0.695,0.47
V68,-1.162,-2.016,0.0
V69,-1.186,-1.767,0.0
V70,18.589,1.023,0.181
