Metodo,Acuracia
GaussianNB,0.6057142857142858
BernoulliNB,0.3028571428571429
KNeighborsClassifier(2),0.6571428571428571
KNeighborsClassifier(3),0.6171428571428571
KNeighborsClassifier(5),0.6514285714285715
KNeighborsClassifier(8),0.6514285714285715
DecisionTreeClassifier(),0.6628571428571428
RandomForestClassifier(3_estimators),0.6742857142857143
RandomForestClassifier(5_estimators),0.6857142857142857
RandomForestClassifier,0.6914285714285714
SVM,0.5657142857142857
MLPClassifier,0.6514285714285715
rand1,0.42857142857142855
rand2,0.56
rand3,0.4742857142857143
majoritario,0.2857142857142857
minoritario,0.7142857142857143
pessimo,0.0
otimo,1.0
