,Discriminacao,Dificuldade,Adivinhacao
V1,7.434,-1.958,0.039
V2,4.577,-1.568,0.225
V3,1.709,-2.21,0.055
V4,-1.894,-1.561,0.001
V5,4.463,-1.771,0.079
V6,7.352,-1.942,0.048
V7,9.916,-1.751,0.016
V8,5.768,-2.108,0.052
V9,11.231,0.233,0.53
V10,-1.814,-2.439,0.001
V11,6.413,-1.996,0.091
V12,6.31,-1.389,0.145
V13,-2.246,-1.787,0.001
V14,2.027,-1.668,0.037
V15,7.407,-1.939,0.051
V16,4.325,-1.689,0.122
V17,-1.972,-1.877,0.001
V18,-1.548,-1.439,0.001
V19,4.084,-1.566,0.168
V20,1.395,-1.922,0.07
V21,-2.293,-1.902,0.001
V22,-1.415,-0.627,0.001
V23,2.627,2.327,0.471
V24,-1.933,-1.514,0.001
V25,7.9,-1.488,0.015
V26,5.673,-2.094,0.117
V27,-1.546,-1.63,0.001
V28,-2.236,-0.816,0.381
V29,3.986,-1.955,0.059
V30,0.189,50.441,0.076
V31,-1.767,-2.063,0.001
V32,-1.271,-1.339,0.011
V33,7.053,-1.099,0.468
V34,-1.854,-1.845,0.173
V35,5.673,-2.094,0.118
V36,9.915,-1.751,0.016
V37,2.665,-1.873,0.048
V38,-1.224,-1.702,0.001
V39,5.545,1.848,0.313
V40,7.433,-1.958,0.039
V41,6.412,-1.996,0.092
V42,2.445,-1.355,0.036
V43,8.304,-1.863,0.03
V44,7.578,-1.24,0.15
V45,8.048,-1.583,0.014
V46,-1.402,-0.99,0.001
V47,-2.247,-1.609,0.001
V48,-1.621,-1.132,0.001
V49,6.777,-2.012,0.047
V50,6.789,-1.219,0.338
V51,-2.281,-1.548,0.001
V52,1.988,-1.934,0.062
V53,-1.089,-0.838,0.004
V54,6.013,1.206,0.508
V55,5.079,-1.961,0.059
V56,-1.785,-1.77,0.001
V57,-1.964,-1.825,0.001
V58,-1.578,-1.871,0.001
V59,6.777,-2.012,0.047
V60,7.433,-1.958,0.039
V61,-1.101,-2.122,0.002
V62,5.674,-2.094,0.119
V63,-0.419,-3.015,0.031
V64,7.185,-1.926,0.064
V65,6.605,-2.007,0.054
V66,-1.39,-1.235,0.001
V67,11.133,-0.283,0.5
V68,-2.723,-1.776,0.001
V69,-1.992,-1.706,0.001
V70,-1.777,-2.235,0.001
V71,-1.707,-2.01,0.001
V72,3.175,-1.097,0.011
V73,8.52,-1.613,0.016
V74,-0.818,-0.98,0.009
V75,-2.668,-1.804,0.059
V76,3.595,0.31,0.532
V77,-1.004,-1.135,0.267
V78,5.768,-2.108,0.053
V79,2.859,-0.042,0.394
V80,7.017,1.339,0.379
V81,-1.966,-1.78,0.001
V82,6.672,-2.008,0.044
V83,9.497,0.102,0.275
